celltype,design,gene,lfc,padj
Astro,~logncell + grp,USH2A,-1.1527,0.08314828250420842
Astro,~logncell + grp,IGFBP5,1.607,0.06709429040566907
Astro,~logncell + grp,CXCL2,1.9121,0.14816615493676452
Astro,~logncell + grp,LYPD6,-0.6547,0.1153424284643764
Astro,~logncell + grp,CHST9,0.7456,0.25696011497783644
Astro,~logncell + grp,ADAMTS19,-1.8773,0.49298155271580935
Astro,~logncell + grp,CRB2,0.7691,0.2302208746855909
Astro,~logncell + grp,COL8A1,1.7588,0.14923608250983322
Astro,~logncell + grp,COL26A1,-1.0645,0.28655687736265434
Astro,~logncell + grp,APOD,1.9375,0.14923608250983322
Astro,~logncell + grp,OTOS,2.6703,0.04595651220074158
Astro,~logncell + grp,KITLG,0.6021,0.3591363775704115
Astro,~logncell + grp,FN1,-1.5494,0.20239121746022382
Astro,~logncell + grp,ANTXR2,0.588,0.28230286502983915
Astro,~logncell + grp,PAPPA2,0.7744,0.052177439826570894
Astro,~logncell + grp,TAFA1,-0.9437,0.28655687736265434
Micro,~grp,IL15,3.1104,8.399374183199483e-06
Micro,~grp,GLT1D1,-1.9222,0.008162152973613751
Micro,~grp,NPC2,1.3867,0.011775558252710157
Micro,~grp,APOC1,1.8998,0.023790288220560635
Micro,~grp,LGALS9,1.0554,0.027262218240317444
Micro,~grp,SERPINE1,4.1253,0.029933501255759956
Micro,~grp,LIPG,2.5973,0.033745704689131906
Micro,~grp,SPON1,2.1533,0.04536919451105009
Micro,~grp,ASAH1,0.8562,0.0457278852809467
Micro,~grp,CYTL1,1.5988,0.04958646945715037
Micro,~grp,LUZP2,-1.9339,0.04958646945715037
Micro,~grp,APOE,1.1214,0.098250571335604
Micro,~pmi + grp,IL15,2.9971,0.0019063788087825284
Micro,~pmi + grp,GLT1D1,-1.9018,0.07521667912050406
Micro,~pmi + grp,NPC2,1.2073,0.22755390257463987
Micro,~pmi + grp,APOC1,2.0013,0.1662046036125145
Micro,~pmi + grp,LGALS9,1.0515,0.16493544750502825
Micro,~pmi + grp,SERPINE1,3.4616,0.38621195272769665
Micro,~pmi + grp,LIPG,2.0852,0.4234536635754951
Micro,~pmi + grp,SPON1,2.3449,0.19593042785836
Micro,~pmi + grp,ASAH1,0.9876,0.11527939743266219
Micro,~pmi + grp,CYTL1,1.1472,0.5861264750003433
Micro,~pmi + grp,LUZP2,-2.1147,0.24097436075833978
Micro,~pmi + grp,APOE,1.1948,0.35855490121515843
Micro,~arm + grp,IL15,3.1133,5.504706252114943e-05
Micro,~arm + grp,GLT1D1,-1.9147,0.005396998173840628
Micro,~arm + grp,NPC2,1.3046,0.00475850290412051
Micro,~arm + grp,APOC1,1.8465,0.049216164073434404
Micro,~arm + grp,LGALS9,1.043,0.029479918680382404
Micro,~arm + grp,SERPINE1,3.8368,0.06661776664904491
Micro,~arm + grp,LIPG,2.5871,0.05630507836972927
Micro,~arm + grp,SPON1,1.963,0.1334774198013315
Micro,~arm + grp,ASAH1,0.8426,0.08323154130268966
Micro,~arm + grp,CYTL1,1.5667,0.09984139284192715
Micro,~arm + grp,LUZP2,-1.9413,0.07991894521282164
Micro,~arm + grp,APOE,1.0252,0.19784638729113527
Micro,~arm + pmi + grp,IL15,3.0013,0.005908604267864473
Micro,~arm + pmi + grp,GLT1D1,-1.8407,0.1868880867101152
Micro,~arm + pmi + grp,NPC2,1.1121,0.1868880867101152
Micro,~arm + pmi + grp,APOC1,1.9045,0.27969975649286033
Micro,~arm + pmi + grp,LGALS9,1.0244,0.24078365747902145
Micro,~arm + pmi + grp,SERPINE1,3.5917,0.4124769416226424
Micro,~arm + pmi + grp,LIPG,2.0719,0.5595312314889633
Micro,~arm + pmi + grp,SPON1,2.1404,0.3775222856538047
Micro,~arm + pmi + grp,ASAH1,0.9751,0.1868880867101152
Micro,~arm + pmi + grp,CYTL1,1.1323,0.7123973301676705
Micro,~arm + pmi + grp,LUZP2,-2.0785,0.3472116611232531
Micro,~arm + pmi + grp,APOE,1.0919,0.5595312314889633
Micro,~sex + arm + pmi + grp,IL15,2.3134,0.212161732708252
Micro,~sex + arm + pmi + grp,GLT1D1,-2.2021,0.14989472487198732
Micro,~sex + arm + pmi + grp,NPC2,0.9639,0.4326326793204497
Micro,~sex + arm + pmi + grp,APOC1,2.4163,0.19721319251804867
Micro,~sex + arm + pmi + grp,LGALS9,1.0463,0.3566113788409788
Micro,~sex + arm + pmi + grp,SERPINE1,5.383,0.2649287691124057
Micro,~sex + arm + pmi + grp,LIPG,2.8067,0.31981696791618935
Micro,~sex + arm + pmi + grp,SPON1,0.8904,0.8119753044347574
Micro,~sex + arm + pmi + grp,ASAH1,1.3028,0.10366247362826349
Micro,~sex + arm + pmi + grp,CYTL1,0.9931,0.674878360707966
Micro,~sex + arm + pmi + grp,LUZP2,-2.0798,0.37305707818079614
Micro,~sex + arm + pmi + grp,APOE,1.2756,0.3724767210841069
Micro,~logncell + grp,IL15,2.8149,0.001736549798233346
Micro,~logncell + grp,GLT1D1,-1.7957,0.1222840940378171
Micro,~logncell + grp,NPC2,1.1143,0.24172183233755912
Micro,~logncell + grp,APOC1,1.428,0.5243281202853126
Micro,~logncell + grp,LGALS9,0.878,0.27121219654175416
Micro,~logncell + grp,SERPINE1,3.5906,0.36271421945950133
Micro,~logncell + grp,LIPG,2.6073,0.17774693003251424
Micro,~logncell + grp,SPON1,1.6086,0.6385044178613103
Micro,~logncell + grp,ASAH1,0.7717,0.5062490158068494
Micro,~logncell + grp,CYTL1,1.5695,0.34032981907909093
Micro,~logncell + grp,LUZP2,-1.4963,0.6322632884098359
Micro,~logncell + grp,APOE,0.9297,0.6611454917571483
Oligo,~grp,CD74,2.2134,0.009174940107002776
Oligo,~grp,EPHA3,2.2732,0.031889543988950955
Oligo,~grp,PTPRR,-1.4225,0.03694409775864425
Oligo,~grp,VSTM4,-0.7704,0.04143819530405173
Oligo,~grp,ECM2,1.2885,0.08749095162258037
Oligo,~pmi + grp,CD74,2.3999,0.01394919770991743
Oligo,~pmi + grp,EPHA3,2.2504,0.08941060466412139
Oligo,~pmi + grp,PTPRR,-1.4753,0.08941060466412139
Oligo,~pmi + grp,VSTM4,-0.7551,0.1296637333233653
