celltype,gene,baseMean,lfc_frozen,lfc_MLE,lfcSE_MLE,lfc_shrunk,lfcSE_shrunk,padj,shrink_ratio,shrink_converged,lfc_shrunk_altparam,shrink_converged_altparam,altparam_absdiff,lfc_shrunk_repaired,ratio_repaired,z,failed
Micro,IL15,18.483152824318125,3.110350457934096,3.1103516265863758,0.5028844041281205,2.940993834791012,0.5014728032914517,8.399374183199483e-06,0.9455502746545622,True,2.939439665215277,True,0.0015541695757343,2.940993834791012,0.9455502746545622,6.185023041187707,False
Micro,GLT1D1,5.601152229232395,-1.9221717848356,-1.922163692586414,0.4219629212884813,-1.7132754983722327,0.4360471523765546,0.0081621529736137,0.8913265321679722,True,-1.714275127550677,True,0.0009996291784439,-1.714275127550677,0.8918465863039959,4.555290513955605,False
Micro,NPC2,32.368968837261306,1.3866550558777673,1.3866554469159942,0.3136348575976846,1.2302198076733777,0.3188096015347644,0.0117755582527101,0.8871849242791069,True,1.2290845150969385,True,0.0011352925764391,1.2302198076733777,0.8871849242791071,4.421241495722799,False
Micro,APOC1,37.59313017870204,1.89977975958699,1.899778519204517,0.4628086108492229,1.6460308095775174,0.4744702233448357,0.0237902882205606,0.8664330041307923,True,0.0927983050383515,True,1.5532325045391655,1.6460308095775174,0.8664330041307922,4.1048901741878785,True
Micro,LGALS9,26.788363547028737,1.0553738524821317,1.0553738958384744,0.2597287713101431,0.908966304896154,0.2657925954722741,0.0272622182403174,0.861274197211404,True,0.9081998123011245,True,0.0007664925950295,0.908966304896154,0.8612741972114041,4.063369223651578,False
Micro,SERPINE1,10.6858233679658,4.125312495853685,4.125309659254123,1.038194724788266,3.6483470760706616,1.0218265539327065,0.0299335012557599,0.8843813864703435,True,0.0281930655293433,True,3.6201540105413184,3.6483470760706616,0.8843813864703435,3.9735413412888003,True
Micro,LIPG,7.157901302991395,2.5973174595722783,2.5973168310243246,0.6608347021200125,2.206795545408981,0.6643135572107516,0.0337457046891319,0.8496443402858439,True,2.20487783298418,True,0.001917712424801,2.206795545408981,0.8496443402858439,3.930357807621054,False
Micro,SPON1,28.255164447679142,2.1533314778843,2.1533325274913464,0.5673958019775195,1.7948509326343254,0.5935267411826454,0.04536919451105,0.833522416867656,True,0.0521445551607491,True,1.7427063774735765,1.7948509326343254,0.833522416867656,3.7951153674144784,True
Micro,ASAH1,84.78728199837956,0.8561756184919411,0.8561758429354166,0.2260482851808134,0.7181376543957205,0.2344997749619862,0.0457278852809467,0.8387735537288353,True,0.7172924226730905,True,0.00084523172263,0.7181376543957205,0.8387735537288353,3.787579464496143,False
Micro,CYTL1,16.423949678680813,1.5988196299512067,1.598821335750683,0.4262103495102338,1.320988376342929,0.4426906738890684,0.0495864694571503,0.8262263874047533,True,0.1164880137753009,True,1.2045003625676285,1.320988376342929,0.8262263874047533,3.7512494419432056,True
Micro,LUZP2,13.053870833164286,-1.933947395868317,-1.9339468487957012,0.5153434731630379,-0.0676703332145248,0.1633176868004169,0.0495864694571503,0.0349907926666465,True,-1.5935951107248407,True,1.525924777510316,-1.5935951107248407,0.8240118448535425,3.7527337581781377,True
Micro,APOE,188.64683757411743,1.1214252856237936,1.1214257145144415,0.323904172105854,0.8883416118225286,0.3450510970371679,0.098250571335604,0.7921537738299194,True,0.8860767432127499,True,0.0022648686097787,0.8883416118225286,0.7921537738299194,3.4622144791267226,False
Oligo,CD74,29.71527797664552,2.213347753977488,2.213373229144197,0.4613591887402655,2.0055292541647853,0.4688076583619814,0.0091749401070027,0.906096282252508,True,2.003934451958735,True,0.0015948022060503,2.0055292541647853,0.9060962822525079,4.797505464641943,False
Oligo,EPHA3,90.27271105314776,2.273220486685189,2.273241275904081,0.5166517655505641,2.013363458552529,0.5304036620856868,0.0318895439889509,0.8856796152233345,True,0.0197659965548136,True,1.9935974619977157,2.013363458552529,0.8856796152233347,4.399948722679051,True
Oligo,PTPRR,21.421875144901183,-1.422499838543139,-1.4224746287832013,0.329881058155142,-1.2455497904518713,0.3439451910431874,0.0369440977586442,0.875621796866301,True,-1.2466627426057644,True,0.001112952153893,-1.2466627426057644,0.8764042024933492,4.312083381623616,False
Oligo,VSTM4,78.1388674179418,-0.770407661181278,-0.7703973225194582,0.1806150981780332,-0.675128258974942,0.186206225792902,0.0414381953040517,0.8763377535724626,True,-0.6756606850694394,True,0.0005324260944974,-0.6756606850694394,0.8770288594199702,4.265409316778566,False
Oligo,ECM2,14.969776089642613,1.2884761002096232,1.2884749333109198,0.3252736702058572,1.0914941920631582,0.339610055666243,0.0874909516225803,0.8471210140335509,True,1.0906005975225814,True,0.0008935945405768,1.0914941920631582,0.8471210140335509,3.9612026774115403,False
OPC,AZGP1,12.268473850633958,2.9227182923647828,2.922738678453606,0.6327189273175969,2.6091213377263505,0.6621157097568141,0.0066307785624376,0.8926974405754305,True,2.60659762758296,True,0.0025237101433903,2.6091213377263505,0.8926974405754305,4.619331826921183,False
OPC,FGF13,62.90761915323818,-1.2755536018760112,-1.2755118167610948,0.2843422960908355,-0.0226616054772267,0.0582728631690478,0.0080314142917833,0.0177666762310139,True,-1.1325386250470837,True,1.1098770195698566,-1.1325386250470837,0.8879091594172269,4.485832161788628,True
