contrast,gene,celltype,motif,family,is_foreground,dz,cv_p,cv_padj,rna_lfc,rna_se,rna_ci_lo,rna_ci_hi,rna_p,rna_q,rna_baseMean,testable,cv_sign,rna_sign,concordant,category
HAvYA_primary,ELF5,Astro,ELF5,ETS,True,-0.183788200876887,0.0421814938434398,0.979336604887158,,,,,,,,False,-1.0,,,D_not_testable
HAvYA_primary,ETV1,Astro,ETV1,ETS,True,-0.250983554001179,0.0013067251531785,0.5172314842459,-0.4179866471557918,0.2514765637757748,-0.9108807121563104,0.0749074178447268,0.0964867863426549,0.5636436435516762,222.41480080800565,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,ETV2,Astro,ETV2,ETS,True,-0.184900871980696,0.0257701611256793,0.979336604887158,,,,,,,,False,-1.0,,,D_not_testable
HAvYA_primary,ETV4,Astro,ETV4,ETS,True,-0.226777908850338,0.0057197794466371,0.5172314842459,0.1280965079705243,0.3227640452596064,-0.5045210207383042,0.7607140366793528,0.6914607201208082,0.9311155267525332,7.166338563121226,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,ETV6,Astro,ETV6,ETS,True,-0.222962158488001,0.0260701025377356,0.979336604887158,-0.4513709720794029,0.2929653358783561,-1.025583030400981,0.122841086242175,0.1233904159914375,0.6046598241863457,494.0246992527518,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,GABPA,Astro,GABPA,ETS,True,-0.25979967510354,0.0036640095967511,0.5172314842459,-0.1333632880726491,0.1337890095189794,-0.3955897467298487,0.1288631705845505,0.3188528770164743,0.7737933352653833,96.72137027121214,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,RFX1,Astro,RFX1,RFX,True,0.367045544583244,0.047010349960884,0.979336604887158,0.2863456826423443,0.2417244953277098,-0.1874343281999669,0.7601256934846554,0.2361775263590805,0.7092875741606882,18.922715540782907,True,1.0,1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,SPIB,Astro,SPIB,ETS,True,-0.239061070951833,0.0046944023142192,0.5172314842459,0.3143629362217333,0.9146680594192742,-1.478386460240044,2.107112332683511,0.7310788807543951,,0.7838143796367145,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,ZNF143,Astro,ZNF143,ZNF-KRAB,True,-0.204147568974897,0.0338936054981376,0.979336604887158,-0.3606322232149965,0.1447808417858874,-0.6444026731153358,-0.0768617733146572,0.0127425861524988,0.2651149919743504,51.946526947806106,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,BARHL2,Endo,BARHL2,homeobox-other,True,-0.295016784201443,0.0272744841221466,0.985520413099923,,,,,,,,False,-1.0,,,D_not_testable
