contrast,gene,celltype,motif,family,is_foreground,dz,cv_p,cv_padj,rna_lfc,rna_se,rna_ci_lo,rna_ci_hi,rna_p,rna_q,rna_baseMean,testable,cv_sign,rna_sign,concordant,category
HAvYA_primary,EGR3,Endo,EGR3,EGR-WT1,True,-0.364930836939263,0.0313540266412444,0.985520413099923,-0.2632811556088636,0.9311902165628904,-2.0884139800721284,1.5618516688544013,0.7773790871862498,0.9982206668978284,4.671272139057496,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,NR2C1,Endo,NR2C1,NR,True,-0.196265384444158,0.0472563355821545,0.985520413099923,0.2312630397137896,0.2802725301627231,-0.3180711194051476,0.7805971988327268,0.4092942106253469,0.9965449463526324,16.823190300429477,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,SMAD5,Endo,SMAD5,SMAD,True,-0.203309841043317,0.0142224192990412,0.985520413099923,-0.1334616603852731,0.2170953297219112,-0.558968506640219,0.2920451858696729,0.5387128168202377,0.9982206668978284,31.4712268761556,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,SOX8,Endo,SOX8,SOX,True,-0.258957323186905,0.0282698647994311,0.985520413099923,0.5534637410525893,0.7319547642317613,-0.8811675968416628,1.9880950789468412,0.4495624232939572,0.9982206668978284,2.986906917745731,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,SOX9,Endo,SOX9,SOX,True,-0.324515537837425,0.0134833660910064,0.985520413099923,0.3332943014489718,0.7111816075901687,-1.060621649427759,1.7272102523257025,0.6393207956720883,0.9982206668978284,7.858134136607726,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,TCF7L1,Endo,TCF7L1,TCF-LEF,True,-0.380803820040571,0.0221772438447811,0.985520413099923,0.0583374345915871,0.2501052698014588,-0.4318688942192721,0.5485437634024464,0.8155661009860072,0.9982206668978284,24.535233337460745,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,TCF7L2,Endo,TCF7L2,TCF-LEF,True,-0.392759443732729,0.0243472681452836,0.985520413099923,0.0532416573375978,0.2397264689587638,-0.4166222218215792,0.5231055364967748,0.8242412055580233,0.9982206668978284,60.15501960376351,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,E2F3,Micro,E2F3,E2F-DP,True,0.174460151974223,0.03340940422759,0.989669368953255,-0.0341546720938827,0.3320975032977102,-0.6850657785573947,0.6167564343696293,0.9180857403349508,0.9867038242810588,90.59668813229334,True,1.0,-1.0,0.0,C_discordant
HAvYA_primary,HOXD9,Micro,HOXD9,HOX,True,0.249072251362974,0.0454600020995591,0.989669368953255,,,,,,,,False,1.0,,,D_not_testable
HAvYA_primary,TP63,Micro,TP63,TP53fam,True,0.163141909359496,0.0343757016412489,0.989669368953255,-0.2818105256657907,1.097745638487716,-2.433391977101714,1.869770925770133,0.7973968543113177,,1.5568299824931642,True,1.0,-1.0,0.0,C_discordant
HAvYA_primary,TP73,Micro,TP73,TP53fam,True,0.21489533346814,0.0416746088026931,0.989669368953255,,,,,,,,False,1.0,,,D_not_testable
HAvYA_primary,MYF5,OPC,MYF5,bHLH-neural,True,-0.447475769414756,0.0295418886746378,0.999690290203973,,,,,,,,False,-1.0,,,D_not_testable
HAvYA_primary,TWIST1,OPC,TWIST1,TWIST,True,-0.269388578055395,0.0244740238619604,0.999690290203973,,,,,,,,False,-1.0,,,D_not_testable
HAvYA_primary,ZBTB18,OPC,ZBTB18,ZBTB,True,-0.342480235754305,0.0115878867722671,0.999690290203973,-0.0180392935583901,0.3078910932562753,-0.6215058363406896,0.5854272492239094,0.9532787938006382,0.9973477392005758,53.43114776021446,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,ELK1,Oligo,ELK1,ETS,True,-0.272270368820611,0.0149751631899015,0.998263694715803,-0.2349068097855754,0.4020332352432571,-1.0228919508623593,0.5530783312912085,0.5590205160055444,0.9362656278786242,20.80503505917208,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,ELK3,Oligo,ELK3,ETS,True,-0.239616826538138,0.0275501810302818,0.998263694715803,0.3107076316850308,0.2054152303849434,-0.0919062198694582,0.7133214832395198,0.1303855578129657,0.7878536332391539,25.96914920432399,True,-1.0,1.0,0.0,C_discordant
HAvYA_primary,ETV3,Oligo,ETV3,ETS,True,-0.22358464919127,0.0388339880030259,0.998263694715803,-0.3226166334653848,0.2621307725130054,-0.8363929475908753,0.1911596806601057,0.2184175441845866,0.8506813841715811,14.668007594573046,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
HAvYA_primary,FEV,Oligo,FEV,ETS,True,-0.219061938546728,0.0273941676315095,0.998263694715803,,,,,,,,False,-1.0,,,D_not_testable
