EntrezGeneSymbol,Estimate
ANGPTL3,0.005180521609429724
ANGPTL4,-0.0006161430314956224
ANGPTL7,-0.0006805933317604876
ANGPTL8,-9.578756781490701e-05
ANK2,0.0002153774463847484
ANKMY2,-0.0004161739194491598
ANKRA2,0.001870251652107884
ANKRD1,-0.0001601314383043838
ANKRD16,9.60891917262414e-05
ANKRD2,-0.0008302706995309013
ANKRD27,1.981143919837802e-05
ANKRD40,0.0001029763711746847
ANKRD45,9.293131964185195e-05
ANKRD46,-9.464632273091796e-06
ANKRD54,-0.0001693760119581691
ANKRD63,0.0004013683276576064
ANKS3,-6.743782065907165e-05
ANOS1,0.0001121496074245461
ANP32A,-0.000117771815804318
ANP32B,0.003166873722258482
ANP32C,0.0003519186637331962
ANPEP,-3.347121215823319e-05
ANTKMT,0.0004223344325203715
ANTXR1,0.0002885277637266813
ANTXR2,0.001203714565363733
ANXA1,0.003500044960100555
ANXA10,0.000701968923024104
ANXA11,-0.001047401280680531
ANXA13,0.0001886686943705985
ANXA2,0.002745266966444458
ANXA4,-0.0008808363238860744
ANXA5,0.0003250510529297817
ANXA7,0.002004794168732388
ANXA8,-5.164156289216137e-05
ANXA9,0.0002012164466891366
AOC1,-0.00100240404624808
AOC2,-1.818104784778811e-05
AOC3,0.005429435089238132
AP1AR,0.006065806623115622
AP1B1,0.0007199693549514612
AP1G2,0.0008836818079420337
AP1S2,-0.0004051214224461413
AP2A2,0.003626567514985697
AP2B1,0.00232336371734911
AP4M1,-9.938629184031752e-05
APAF1,0.0008602411087017897
APBB1,0.0004278704031392837
APBB1IP,-0.001091418585223871
APBB2,-0.0002675946051106931
APBB3,-0.0008367018807425556
APCDD1,0.0008195516779990675
APCS,0.0004830003209391277
APEX1,0.001783363451981616
APEX2,-2.148158420615544e-05
APLN,-9.784830629668889e-05
APLP1,0.001021665304317718
APLP2,0.001860064406768983
APMAP,0.0005553331806759176
APOA1,0.001709777378683854
APOA2,0.0005877522424934126
APOA4,0.00122595559067637
APOA5,-0.001184889153268358
APOB,0.0002018735584143647
APOBEC2,0.001326063532531354
APOBEC3G,-1.826778737215561e-05
APOC1,-0.0002107503980890125
APOC2,6.233485655762092e-05
APOC3,2.468348484538309e-05
APOD,0.002674318847166814
APOE,-0.0006310878138590112
APOF,-0.0001284497449956716
APOH,-0.0004890471964348779
APOL1,0.001231525063836222
APOL2,0.000418168199347805
APOL3,-0.0006162567387978718
APOM,0.001243700265946145
APP,-0.0005887646892388824
APPL1,-0.0005573976835497183
APRT,-0.0002238210175157424
APTX,5.181455714304427e-05
AQP4,-3.006091345985412e-05
ARAF,-0.0003253106849457652
ARC,-0.0003033373314478194
AREG,1.396198768064981e-05
ARF1,0.003133303569484783
ARF3,9.193189452492155e-05
ARF4,-0.0001838140757814016
ARF5,-0.0003873312396669844
ARF6,-0.0006119134994097696
ARFGAP1,0.0006220517475512033
ARFGAP2,0.001539851907524219
ARFIP1,-0.0008725494541676677
