gene,Beta
BCL2L13,0.486464515761977
BCL2L2,0.013004519830018
BCLAF1,-0.324749382422656
BCS1L,0.0242151572251675
BDH1,0.829049666165018
BDH2,-0.644151201695019
BECN1,-0.218433348532077
BGN,0.087510370381163
BID,-0.102140464195493
BIN1,0.640613141849855
BLMH,-0.144044171053725
BLVRA,-1.51962751855384
BLVRB,-1.89613916101566
BMPR2,0.129281242371791
BNIP2,0.120557863387277
BNIP3L,0.375027352772182
BOLA2,-0.939776727276327
BPGM,-0.302185645975673
BPHL,0.337880285182848
BPNT1,-0.0825910630137712
BRAF,0.180737237587838
BRCC3,-0.00423371013130908
BRE,0.0263591694235257
BRI3BP,0.169198971864634
BRINP1,0.169874395743357
BRK1,1.02060274558861
BROX,0.115714536017525
BRSK1,1.33177653833777
BRSK2,-0.0864556917039594
BSCL2,1.02648400694568
BSG,0.036486733415001
BSN,2.50059975119042
BTF3,-0.249347080412207
BTF3L4,0.389761479425249
BTN3A3,-0.21724804413276
BUB3,-0.52722658166917
BZW1,-0.759078017822915
BZW2,-0.0628591319261966
C10orf32,0.191090313679916
C10orf35,0.359255835768423
C11orf54,-0.536898028252512
C11orf58,-0.0622316582319172
C11orf68,0.104063311309989
C11orf73,-0.188168756526952
C12orf10,-0.210202650943329
C12orf5,-0.106633118771142
C12orf57,0.304689728531887
C14orf159,0.0383129078556868
C14orf166,-0.988056120133546
C16orf13,0.293781026048027
C16orf45,-0.256683160523432
C16orf58,0.391467439514203
C16orf62,-0.152209864568101
C16orf70,0.724952251301666
C17orf62,0.0868062079635002
C19orf52,0.374601103404224
C19orf70,0.383945502395781
C1QB,0.151652180056642
C1QBP,1.57207221571505
C1QC,0.166026207766249
C1QL3,0.010476417229473
C1orf123,-0.701589956401507
C1orf198,-0.704652622204379
C1orf95,0.370255447631989
C2CD2,-0.735355242190528
C2CD2L,0.342716382331737
C2CD4C,0.572745037697729
C2CD5,0.424751744409661
C2orf47,0.337195058226552
C2orf69,0.203820693832096
C3,-0.24795269579627
C4A,-0.243085412482835
C6orf136,-0.164626605114142
C6orf203,0.107413250916319
C6orf211,-0.099311509206791
C6orf57,0.407625138003198
C7orf55-LUC7L2,-1.04600084745329
C8orf82,0.379140392436026
C9orf172,-0.0750538530052856
C9orf64,-0.403402638218516
C9orf72,-0.483876137631092
CA1,-0.181650263371038
CA2,-0.97652073133738
CA4,0.117088112798025
CAB39,-2.07030701274271
CAB39L,-0.128320382425067
CABP1,0.241017970051611
CACNA1A,0.154228327413524
CACNA1B,-0.0825731606205122
CACNA1E,-0.0850906206534383
CACNA2D1,1.08019435238719
CACNA2D2,-0.198364743420212
CACNA2D3,-0.415567740400211
CACNB3,0.0316970173566151
CACNB4,0.197964337339138
CACNG3,0.14176082103546
CACNG8,0.290161167425002
CACYBP,-1.55098958346072
CADM1,2.28135927104417
CADM2,2.0037094195327
CADM3,2.77233003995051
CADM4,-0.99381271761351
CADPS,0.625108614736026
CADPS2,0.121417684483709
CALB1,0.763200919162569
CALB2,-0.775709237378293
CALCOCO1,0.21927023963022
CALD1,-0.540413588468997
CALM1,-0.480236130716601
CALR,-0.428225661219973
CALU,0.97339940662583
CAMK1,0.406866507968609
CAMK1D,-0.5828323136436
CAMK2A,0.47905718390586927
CAMK2B,0.523394827408791
CAMK2D,0.007195231079350002
CAMK2G,-1.2153864077070662
CAMK2N1,0.514984609707111
CAMK4,0.180133088502414
CAMKK1,0.0390811700888198
CAMKK2,0.780608944940257
CAMKV,0.1297551953671875
CAMLG,0.453136319959025
CAMSAP2,0.187293219370008
CAMSAP3,-0.127205765893906
CAND1,-0.187799918461712
CAND2,0.340715570623336
CANX,-3.07969637878004
CAP1,-1.85219172518881
CAP2,2.1700649974426
CAPG,-0.42773286368988
CAPN1,-2.10194921063605
CAPN2,-1.28492587112687
CAPN5,0.531083136883566
CAPNS1,-1.32851458178179
CAPRIN1,-1.2079240867446
CAPS,-0.240333907696447
CAPZA1,-0.578259621768248
CAPZA2,0.230432477377458
CAPZB,1.4985701644229286
CARHSP1,-0.313930578555264
CARKD,0.790274174286193
CARM1,0.0147374200176333
CARS,0.645752199820433
CARS2,0.0975411880771949
CARTPT,-0.128774209030382
CASK,-0.642241082204631
CASKIN1,2.08045718284225
CAST,-0.309237985096074
CAT,-0.93006546400322
CAV1,-0.101278706837586
CBR1,-1.38866330754018
CBR3,-0.727094852035175
CBR4,0.458483950987564
CBS,-0.305369369463217
CBX1,0.722970750442081
CBX3,-0.461448425459737
CBX5,0.338216429985948
CC2D1A,0.0293597278321557
CCAR2,0.531594587901617
CCBL1,-0.297569523417065
CCBL2,0.071769678492204
CCDC124,-0.257894073033712
CCDC127,-0.029939713288061
CCDC132,0.262866963790136
CCDC136,0.417596822439463
CCDC177,0.156652580507831
CCDC22,-0.125323916186405
CCDC43,-0.235496156418543
CCDC47,-0.21869896716859
CCDC50,0.331072423089925
CCDC58,0.382731312765021
CCDC6,-0.980100792525961
CCDC85A,-0.0671734310192649
CCDC88A,0.166623502726842
CCDC90B,-0.120127126426952
CCDC91,-0.00493685175175654
CCDC92,-0.369047565250644
CCDC93,0.141636612315924
CCK,-0.242093375436017
CCNY,0.940230514391032
CCS,0.528950285363484
CCT2,-1.61710061027633
CCT3,-0.365817040137567
CCT4,-0.185618773086183
CCT5,-1.86013864097867
CCT6A,0.718008482927007
CCT7,1.20405256420695
CCT8,-1.66849398246963
CD200,1.23796596742384
CD44,-0.361319352887011
CD47,1.56819697145352
CD58,-0.275725962765011
CD59,0.116047892020382
CD81,0.513880676805453
CD82,-0.641353585357842
CD9,-0.3011007985523
CD99,-0.461883768357722
CD99L2,-0.1819797426856015
CDC37,-0.11920412885705
CDC42,1.3454344231555075
CDC42BPA,-0.0862835455722961
CDC42BPB,1.47096465255703
CDC42EP1,-0.406487517013853
CDC42EP4,-0.273658553321061
CDC42SE2,-0.546379714954208
CDC5L,0.392111029004743
CDH13,0.0622250188942926
CDH2,-0.770776380904055
CDIP1,0.001979273577412
CDIPT,0.00167205964597949
CDK14,-0.22577611784165
CDK18,0.184033184369465
CDK5,1.22376254626514
CDK5RAP3,0.466153369169589
CDKL5,0.152456773158458
CDKN1B,-0.661217620821683
CDS2,0.94019317502282
CDV3,0.171898116562974
CELF2,0.661892786663397
CEND1,1.42852664946801
CENPV,-0.710847207686973
CEP170,-0.334071969494263
CEP170B,0.34358921469507
CERS1,-0.149373360918156
CETN2,0.0818355832989915
CFL1,0.320091049285464
CFL2,-0.809620558635026
CHCHD2,0.00440900417618884
CHCHD3,1.50531274376925
CHCHD4,0.51226767472271
CHCHD6,1.74636295304122
CHDH,-0.242460735988715
CHGA,-0.969045318176557
CHGB,-0.209715868245479
CHID1,0.0708820968159669
CHL1,0.93945906904089
CHM,-0.0837231435177468
CHMP1A,0.333645805475524
CHMP1B,-0.314148664962972
CHMP2A,0.398057694705037
CHMP3,-0.273088520420516
CHMP4B,0.522057351136884
CHMP5,0.144996725364079
CHMP6,-0.101863187561678
CHMP7,-0.130950574804464
CHN1,0.0195063105064344
CHORDC1,-0.425861039241131
CHP1,0.711205378996976
CHRM1,-0.473474120766907
CIAPIN1,0.443241422210198
CIRBP,0.390763226775106
CISD1,2.51904416278498
CISD2,-0.130145636757329
CISD3,0.485818440223791
CIT,-0.27920302701443
CKAP4,0.0657720315494232
CKAP5,-0.583349709990859
CKB,-1.94549166116087
CKM,-0.215407162800534
CKMT1A,0.541084471929107
CLASP1,-0.983030474057675
CLASP2,2.22536040693065
CLCN4,-0.58273862289813
CLCN6,-0.318912432873387
CLDN11,-0.000476
CLDND1,-0.0440249472429895
CLEC2L,0.466019351959064
CLIC1,-0.478175774404642
CLIC4,-1.03903789167675
CLINT1,0.176074231174247
CLIP1,0.0415602453592998
CLIP2,-1.29277511693299
CLPB,-0.0942360197222971
CLPTM1,0.765588467722794
CLSTN1,0.606967244877818
CLTA,1.89765610684072
CLTB,0.169526538208229
CLTC,3.00219447520948
CLTCL1,0.381167444316536
CLU,-0.971884105942774
CLUH,0.132643436497494
CLVS1,0.167131702718223
CLVS2,-0.00642124786309631
CMAS,0.0116630320499402
CMBL,-0.551102138361238
CMC1,0.0813926231068944
CMPK1,-1.78374451150073
CMTM4,-0.3336140328542
CMTM5,-0.153731853517654
CNBP,0.158187869427781
CNDP2,-2.62752784463463
CNKSR2,0.193656487660771
CNKSR3,0.445084735633815
CNN3,-0.264154001785702
CNNM1,0.0108820084124902
CNOT1,-0.270680457666905
CNP,-0.514999183783073
CNPY2,0.693163633607938
CNPY3,0.00323510721816017
CNRIP1,0.687089762459056
CNTFR,-0.218932150106344
CNTN1,2.78996110576315
CNTN2,-1.13975489639649
CNTNAP1,-1.12176479281757
CNTNAP2,-0.416650770720551
CNTNAP4,0.338507399556612
CNTNAP5,-0.0934656139687367
COA3,0.308216368673489
COA6,0.583584430161023
COASY,-0.7507996982186
COL18A1,0.336881354944138
COL4A1,0.0997590187751257
COL4A2,0.127914955857656
COL6A1,-0.17319385568273
COL6A3,0.00471513605392037
COMMD10,-0.167852088951776
COMMD2,0.153579126000729
COMMD3,-0.170077917006289
COMMD8,-0.245957235572274
COMMD9,-0.460816148739977
COMT,-0.0687114357920719
CON__P00761,0.235526000968445
CON__P01966,0.0680106861231167
CON__P15636,-1.07196504021534
CON__P35908,0.0319346080149718
COPA,-1.45819606098379
COPB1,-1.43030386801711
COPB2,-1.52603323097651
COPE,-0.73741910477628
COPG1,-0.635264215563802
COPS2,1.20258723612276
COPS3,0.919280227561404
COPS4,-0.245156349970564
COPS5,-1.55184238561058
COPS6,-2.19427555080578
COPS7A,0.943938105681482
COPS7B,-0.0631417958466862
COPS8,0.0391006544394666
COPZ1,-0.391219923731382
COQ10B,0.09447532553144
COQ3,0.0893966967215606
COQ5,-0.137410259930658
COQ6,0.13576991958163
COQ7,0.249221840136526
COQ9,0.197243169765842
CORO1A,2.27196825889788
CORO1B,-0.795627272630154
CORO1C,-0.349987696966925
CORO2A,0.00913227355997402
CORO2B,1.71429522292275
CORO7-PAM16,0.259192033566853
COTL1,-1.36343430302026
COX17,0.101533930908861
COX4I1,0.849115118491388
COX5A,1.08822516092982
COX5B,0.475912370965316
COX6A1,0.679429149257707
COX6B1,0.87103819660771
COX6C,0.0859404476571525
COX7A1,-0.231240724437506
COX7A2,1.38213521526755
COX7A2L,0.706555962867785
COX7C,0.0672417158299538
COX8A,0.586355362375644
CP,-0.0772888066156742
CPE,-0.972819374273024
CPEB3,-0.164848299085037
CPLX1,0.193492916782303
CPLX2,0.527768012776189
CPNE1,-0.266381349806053
CPNE3,-0.488944443551417
CPNE4,0.277272806081122
CPNE5,1.15759478953841
CPNE6,-0.569095029824899
CPNE7,0.3691861615458
CPPED1,-0.148862459493112
CPSF6,0.15073132984946
CPSF7,-0.0810604620180879
CPT1A,0.439077985396655
CPT2,0.0854924104228745
CRABP1,-0.212094963197113
CRAT,0.960438015434035
CRBN,0.751740268086753
CREG1,-0.266967973149486
