"celltype","arm","n_genes","n_fg_peaks","motif","tf","OR","p","padj","dz","dz_sign_ok","n_targets","verdict","pred_match"
"Endo","DOWN",8,32,"MA0050.2","IRF1",1.17391304347826,0.419817816091563,1,0.0453201237924667,FALSE,5,"ns",FALSE
"Endo","DOWN",8,32,"MA0137.3","STAT1",1.33583208395802,0.42810038320128,1,-0.323800777648964,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0144.2","STAT3",1.41641641641642,0.329941461648592,1,-0.265560169322502,TRUE,3,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA0599.1","KLF5",1.29813664596273,0.315409744283806,1,-0.123201021998725,TRUE,6,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA0645.1","ETV6",0,1,1,-0.148243539514265,TRUE,0,"ns",TRUE
"Endo","DOWN",8,32,"MA0475.2","FLI1",2.06666666666667,0.298983297595106,1,-0.350883785416374,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0157.2","FOXO3",0.574952561669829,0.828062392412458,1,-0.00343891154485476,TRUE,1,"ns",TRUE
"Endo","DOWN",8,32,"MA0652.1","IRF8",1.57435897435897,0.403692965177034,1,0.0351670032122695,FALSE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0759.1","ELK3",2.06666666666667,0.298983297595106,1,-0.181776271560715,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0474.2","ERG",2.06666666666667,0.298983297595106,1,-0.369108341772865,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0098.3","ETS1",2.06666666666667,0.298983297595106,1,-0.225668179131731,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0762.1","ETV2",0.761786600496278,0.743572801819132,1,-0.113233614354173,TRUE,1,"ns",TRUE
"Endo","DOWN",8,32,"MA0156.2","FEV",2.3037037037037,0.263376100012635,1,-0.290635693041337,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0768.1","LEF1",0.822222222222222,0.709171549398288,1,-0.281775774911261,TRUE,1,"ns",TRUE
"Endo","DOWN",8,32,"MA0105.4","NFKB1",1.55026455026455,0.306819409444388,1,0.0608084657364446,FALSE,3,"ns",FALSE
"Endo","DOWN",8,32,"MA0778.1","NFKB2",1.55026455026455,0.306819409444388,1,0.108638289584323,FALSE,3,"ns",FALSE
"Endo","DOWN",8,32,"MA0795.1","SMAD3",0,1,1,-0.121578721808363,TRUE,0,"ns",FALSE
"Endo","DOWN",8,32,"MA0511.2","RUNX2",0,1,1,0.0218345826224511,FALSE,0,"ns",FALSE
"Endo","DOWN",8,32,"MA0808.1","TEAD3",1.33583208395802,0.42810038320128,1,-0.201154876150565,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0466.2","CEBPB",3.40860215053763,0.31815793248458,1,0.117413097286873,FALSE,1,"ns",FALSE
"Endo","DOWN",8,32,"MA0838.1","CEBPG",1.25806451612903,0.580291607756298,1,0.106204394705563,FALSE,1,"ns",FALSE
"Endo","DOWN",8,32,"MA0848.1","FOXO4",0.323692992213571,0.949745230297384,1,0.0606236312669294,FALSE,1,"ns",TRUE
"Endo","DOWN",8,32,"MA0028.2","ELK1",2.3037037037037,0.263376100012635,1,-0.176770041484468,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0036.3","GATA2",1.26666666666667,0.501210702741092,1,-0.173042913345648,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA1117.1","RELB",1.27586206896552,0.453965827943336,1,-0.138896675211362,TRUE,3,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA1418.1","IRF3",0.96440489432703,0.619773818525036,1,-0.0674992995955921,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA1421.1","TCF7L1",1.33583208395802,0.42810038320128,1,-0.405447477293445,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA1515.1","KLF2",1.17391304347826,0.419817816091563,1,-0.105867086395987,TRUE,6,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA1563.1","SOX18",0.822222222222222,0.709171549398288,1,0.188524321916533,FALSE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0079.4","SP1",1.2919298245614,0.357678330432386,1,-0.0501008399198599,TRUE,6,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA1634.1","BATF",0.418181818181818,0.94267770393808,1,-0.0817794473047351,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0835.2","BATF3",0.418181818181818,0.94267770393808,1,-0.0900239987995668,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0102.4","CEBPA",0.416549789621318,0.906493272327462,1,-0.0694460144056521,TRUE,1,"ns",FALSE
"Endo","DOWN",8,32,"MA0836.2","CEBPD",0.541218637992832,0.844535456612462,1,0.073114343720514,FALSE,1,"ns",FALSE
"Endo","DOWN",8,32,"MA0598.3","EHF",0.466666666666667,0.918656920939044,1,-0.0603975537924595,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0473.3","ELF1",0.545638945233266,0.899260652886111,1,-0.171156276431269,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0761.2","ETV1",0.873015873015873,0.680195036684645,1,-0.132653114492961,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0764.2","ETV4",0.477313974591652,0.936889069332349,1,-0.116176997741403,TRUE,2,"ns",TRUE
"Endo","DOWN",8,32,"MA0477.2","FOSL1",0.542857142857143,0.87606058820424,1,-0.0216660063839258,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0482.2","GATA4",1.26666666666667,0.501210702741092,1,-0.143416101049881,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA1104.2","GATA6",1.71111111111111,0.369372851379298,1,-0.0106284965452266,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0490.2","JUNB",0.621505376344086,0.82885606465761,1,-0.0825711644579077,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0491.2","JUND",0.668965517241379,0.799917345469711,1,-0.0752330225268136,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0039.4","KLF4",1.22222222222222,0.370511810728566,1,-0.131697427578516,TRUE,6,"SUGGESTIVE",TRUE
"Endo","DOWN",8,32,"MA0684.2","RUNX3",0.822222222222222,0.709171549398288,1,-0.0709578121231801,TRUE,2,"ns",FALSE
"Endo","DOWN",8,32,"MA0080.5","SPI1",1.07017543859649,0.510993246032908,1,-0.0277213643397567,TRUE,4,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA0769.2","TCF7",1.05614035087719,0.5885834112307,1,-0.256685486766237,TRUE,1,"ns",TRUE
"Endo","DOWN",8,32,"MA0090.3","TEAD1",2.23076923076923,0.0924563693369477,1,-0.271600634292145,TRUE,4,"SUGGESTIVE",FALSE
"Endo","DOWN",8,32,"MA0809.2","TEAD4",1.16976127320955,0.504354612046939,1,-0.189223297424432,TRUE,2,"ns",FALSE
"Endo","UP",3,25,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_EVALUABLE",NA
"Micro","DOWN",2,30,NA,NA,NA,NA,NA,NA,NA,NA,"NOT_EVALUABLE",NA
"Micro","UP",10,28,"MA0050.2","IRF1",2.20774647887324,0.0424739680813295,0.626491029199611,0.407580775938349,TRUE,8,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0144.2","STAT3",2.68421052631579,0.025567247494544,0.626491029199611,-0.0770556648358206,FALSE,6,"ns",TRUE
"Micro","UP",10,28,"MA0105.4","NFKB1",2.62702702702703,0.0349011166034454,0.626491029199611,0.184654473115514,TRUE,6,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0764.2","ETV4",2.41261261261261,0.0247831339152152,0.626491029199611,0.398923238731208,TRUE,9,"SUGGESTIVE",FALSE
"Micro","UP",10,28,"MA0517.1","STAT1::STAT2",2.17894736842105,0.0625887655780931,0.663939589185496,0.356856610151504,TRUE,8,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0137.3","STAT1",2.45454545454545,0.0715263549899345,0.663939589185496,0.0542780362629834,TRUE,4,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA1117.1","RELB",2.27272727272727,0.0906947802284956,0.663939589185496,0.0476803834652977,TRUE,4,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA1418.1","IRF3",2.11363636363636,0.112532133760253,0.663939589185496,0.312959946685253,TRUE,5,"SUGGESTIVE",TRUE
