tf,group,rel,cpm,celltype
IRF1,YA,-33,391.183054169776,Astro
IRF1,YA,182,384.996553939608,Astro
TEAD1,YA,128,48.7762873221327,Astro
TEAD4,YA,128,48.517178625891,Astro
IRF1,YA,48,411.52719875601,Astro
IRF1,YA,-20,305.335319656171,Astro
IRF1,YA,-26,403.784853792448,Astro
IRF1,YA,-32,405.195821653333,Astro
IRF1,YA,193,390.288449038741,Astro
TEAD1,YA,139,48.0178499914644,Astro
TEAD4,YA,139,49.9523778731746,Astro
IRF1,YA,59,383.218586119621,Astro
IRF1,YA,-9,89.2347307857517,Astro
IRF1,YA,-15,197.668701203414,Astro
TEAD1,YA,184,49.2175600849938,Astro
TEAD4,YA,184,44.9973659506079,Astro
IRF1,YA,104,377.551957483723,Astro
IRF1,YA,36,414.955909134744,Astro
IRF1,YA,30,421.351404007084,Astro
IRF1,YA,24,413.512545995411,Astro
IRF1,YA,124,389.403887247136,Astro
IRF1,YA,56,388.730879577346,Astro
IRF1,YA,44,425.887988692622,Astro
IRF1,YA,63,385.679843894728,Astro
IRF1,YA,57,383.427930051664,Astro
IRF1,YA,51,399.66564002499,Astro
IRF1,YA,144,401.135926867806,Astro
IRF1,YA,76,373.087509588423,Astro
IRF1,YA,70,368.99153841873,Astro
IRF1,YA,64,376.974470385639,Astro
IRF1,YA,145,394.681697971151,Astro
IRF1,YA,77,374.444791660911,Astro
IRF1,YA,71,372.605093376699,Astro
IRF1,YA,79,370.52122634534,Astro
IRF1,YA,73,363.026146935823,Astro
IRF1,YA,160,367.822768914146,Astro
IRF1,YA,86,377.411287966902,Astro
IRF1,YA,80,373.845068964452,Astro
IRF1,YA,166,362.792688450599,Astro
IRF1,YA,98,366.614318374961,Astro
IRF1,YA,168,363.089731256701,Astro
IRF1,YA,100,365.012933228783,Astro
IRF1,YA,94,370.610990879213,Astro
IRF1,YA,88,371.775319778785,Astro
IRF1,YA,170,355.434548387701,Astro
IRF1,YA,102,373.051228675268,Astro
IRF1,YA,96,392.766733947316,Astro
IRF1,YA,90,373.285599780059,Astro
IRF1,YA,178,362.810798949902,Astro
IRF1,YA,110,371.00482136171,Astro
IRF1,YA,134,392.875683971756,Astro
IRF1,YA,128,394.015392420846,Astro
IRF1,YA,122,386.113783155797,Astro
IRF1,YA,142,390.56070671244,Astro
IRF1,YA,136,401.587418410473,Astro
IRF1,YA,130,395.133144404882,Astro
IRF1,YA,138,397.044347617966,Astro
IRF1,YA,132,402.087431442807,Astro
IRF1,YA,159,363.344613187088,Astro
IRF1,YA,153,385.357714225588,Astro
IRF1,YA,197,386.104620288361,Astro
IRF1,YA,191,380.299934809802,Astro
RELA,YA,-187,62.9047222906493,Astro
NFKB1,YA,-187,79.5471031911929,Astro
TEAD4,YA,-50,43.8890367652045,Astro
TEAD1,YA,-51,46.0824081164371,Astro
TEAD4,YA,132,49.4184841236459,Astro
TEAD1,YA,131,46.8081070994648,Astro
TEAD4,YA,145,47.6769537334489,Astro
TEAD1,YA,144,49.4950966646052,Astro
TEAD4,YA,169,46.0203889849794,Astro
TEAD1,YA,168,47.9681191006421,Astro
TEAD4,YA,170,48.0269572571984,Astro
TEAD1,YA,169,47.3519726529359,Astro
TEAD1,YA,183,48.5558915017874,Astro
NFKB1,YA,-185,80.476263998849,Astro
NFKB1,YA,-178,79.2828896199795,Astro
NFKB1,YA,-122,80.2672474940636,Astro
NFKB1,YA,-93,86.4507202343669,Astro
NFKB1,YA,-76,77.7479208049571,Astro
NFKB1,YA,-62,84.5007061074618,Astro
NFKB1,YA,-54,83.1772927068062,Astro
NFKB1,YA,-6,148.299917418123,Astro
NFKB1,YA,11,71.9813773242845,Astro
NFKB1,YA,83,80.9044245819269,Astro
NFKB1,YA,93,80.5607239636188,Astro
RELA,YA,-127,68.5429754680595,Astro
RELA,YA,-74,63.3918440162404,Astro
NFKB1,YA,-135,88.1192283776183,Astro
RELA,YA,-160,64.1374300107016,Astro
RELA,YA,-142,68.0301085595415,Astro
RELA,YA,-15,75.6014042549909,Astro
