tf,donor,group,center_n,flank_n,win_n,dtot,n,fp_depth,access,celltype
CEBPB,43,YA,542,4137,8044,2091254,8594,0.216740369694918,0.447579233208411,Micro
CEBPB,44,HA,3022,20562,40690,6855626,8594,0.0617697258201289,0.690629656131918,Micro
CEBPB,45,YA,846,6070,11663,2338594,8594,0.134261639305556,0.580310054398823,Micro
CEBPB,47,YA,176,1077,2223,707422,8594,-0.0767015809826079,0.365649977983003,Micro
IRF1,2,YA,23606,462035,864636,5236538,326008,1.58549872745116,0.506478246549736,Micro
IRF1,7,YA,14454,279143,525371,3188248,326008,1.56540123561877,0.50545877797609,Micro
IRF1,11,HA,68538,1269964,2369370,18429984,326008,1.50730159251255,0.394348024576,Micro
IRF1,14,HA,18674,347318,647676,3978834,326008,1.51158496488862,0.49931398074233,Micro
IRF1,15,HA,41493,784028,1473217,8866712,326008,1.53524432944653,0.5096544984693,Micro
IRF1,16,HA,23200,471094,878983,6795224,326008,1.6384951018024,0.396778782676056,Micro
IRF1,28,HA,16205,326378,607174,5067918,326008,1.626153119271,0.367498295787485,Micro
IRF1,29,YA,13038,281304,519196,3594340,326008,1.72492983992661,0.443081813348021,Micro
IRF1,30,YA,15143,303679,571126,2842424,326008,1.61981795361748,0.616332135721448,Micro
IRF1,32,HA,12586,246708,458664,3108088,326008,1.58652927507911,0.452661012130584,Micro
IRF1,35,HA,18286,360623,672877,5255558,326008,1.59602898776245,0.392725040282731,Micro
IRF1,37,HA,10325,204090,380607,3091660,326008,1.59807876193893,0.377621564213105,Micro
IRF1,39,YA,196,3315,6254,50506,326008,1.24956595996947,0.379827709917564,Micro
IRF1,43,YA,5844,122629,227200,2091254,326008,1.68192687873785,0.333252399334895,Micro
IRF1,44,HA,29810,595977,1112707,6855626,326008,1.61636259832234,0.4978579488878,Micro
IRF1,45,YA,8210,169671,313359,2338594,326008,1.66147817179548,0.411016336585998,Micro
IRF1,47,YA,1741,37271,67792,707422,326008,1.69838579968244,0.293948756584553,Micro
NFKB1,2,YA,16606,107094,212140,5236538,28431,-0.0148860928807513,1.42490585085282,Micro
NFKB1,7,YA,9309,59401,117309,3188248,28431,-0.0301246796747556,1.29415740423091,Micro
NFKB1,11,HA,44891,274404,544890,18429984,28431,-0.0921460897847376,1.03990039730182,Micro
NFKB1,14,HA,12562,79369,157817,3978834,28431,-0.0443944561007268,1.39510157076753,Micro
NFKB1,15,HA,26388,170889,337884,8866712,28431,-0.00889906596594603,1.34033355183469,Micro
NFKB1,16,HA,17627,109808,217493,6795224,28431,-0.0647743537062862,1.12576922152531,Micro
NFKB1,28,HA,10860,67199,133345,5067918,28431,-0.0743816030017013,0.925454392529159,Micro
NFKB1,29,YA,10613,66909,132279,3594340,28431,-0.0475063334122119,1.29443310584689,Micro
NFKB1,30,YA,10567,66141,131603,2842424,28431,-0.0578629532504443,1.62848886245919,Micro
NFKB1,32,HA,8917,55340,109936,3108088,28431,-0.0700732060852866,1.24409770595806,Micro
