"receiver","response","ligand","pearson","z","perm_p","perm_padj","is_candidate","is_frozen_up"
"CA_ExN","binary_padj0.1","PCDHA5",0.0174478576611464,NA,0.0239880059970015,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","PCDHA8",0.0173958250630894,NA,0.024487756121939,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","PCDHA1",0.01738993539088,NA,0.0249875062468766,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","GPC6",0.017377816222174,NA,0.0289855072463768,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","PTPRM",0.0173739707202379,NA,0.024487756121939,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","OLFM2",0.0173523339800925,NA,0.0324837581209395,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","TNF",0.0172006022670548,NA,0.0469765117441279,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","CRTAM",0.0169537050249944,NA,0.0439780109945027,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","BOC",0.0168812395234413,NA,0.0369815092453773,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","SCGB3A2",0.016857425665133,NA,0.0374812593703148,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","PODXL",0.0168057232752319,NA,0.0329835082458771,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","CDH9",0.016699827822941,NA,0.0294852573713143,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","GDNF",0.0166195200884221,NA,0.0489755122438781,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","CFD",0.01657907375819,NA,0.0399800099950025,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","HJV",0.0164521591829849,NA,0.039480259870065,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","MMP13",0.0163875956974523,NA,0.0374812593703148,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","DEFB4B",0.0163178412777883,NA,0.0419790104947526,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","IL19",0.0163096173654835,NA,0.0584707646176912,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","CADM1",0.01630850058971,NA,0.0569715142428786,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","ROBO1",0.016296869296321,NA,0.0379810094952524,0.306791048919984,FALSE,FALSE
"CA_ExN","binary_padj0.1","CLDN2",0.0162632783446137,NA,0.0434782608695652,0.306791048919984,FALSE,FALSE
