"ligand","pearson","z","pct","perm_p","perm_padj","is_aging_up_secretome_ligand","receiver"
"RGMA",0.0302557113923935,NA,0.941272430668842,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"GDF3",0.0302436120485097,NA,0.940456769983687,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"SAA1",0.0300943347569962,NA,0.939641109298532,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"MPDZ",0.0297828752261045,NA,0.938825448613377,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"PAEP",0.0297463053636873,NA,0.938009787928222,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"JAM2",0.0295831236585003,NA,0.937194127243067,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"BDNF",0.0295774467257692,NA,0.936378466557912,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"UXS1",0.0295547344673743,NA,0.935562805872757,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"TGFB2",0.0295324828700192,NA,0.934747145187602,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"PCDHA7",0.0294558764224609,NA,0.933931484502447,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"OSM",0.0294523928661589,NA,0.933115823817292,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"DKK1",0.0294475361621774,NA,0.932300163132137,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"HPX",0.029432971889979,NA,0.931484502446982,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"LIF",0.029308272332955,NA,0.930668841761827,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"NTF4",0.0292603810108107,NA,0.929853181076672,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"LAMA4",0.0292504321668086,NA,0.929037520391517,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"FCRL6",0.0292275125248831,NA,0.928221859706362,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"BMP10",0.0289930110738928,NA,0.927406199021207,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"LAMB2",0.0289070744929442,NA,0.926590538336052,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"ATP1B1",0.028771281847899,NA,0.925774877650897,0.00499750124937531,0.0231891629942604,FALSE,"Astro"
"EPO",0.028763346155377,NA,0.924959216965742,0.00599700149925037,0.0243255855515951,FALSE,"Astro"
"IL20",0.0287319424975436,NA,0.924143556280587,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"COL3A1",0.0287315298586865,NA,0.923327895595432,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"CCL18",0.0286801561285251,NA,0.922512234910277,0.00449775112443778,0.0229572713643178,FALSE,"Astro"
"IL17B",0.0286744567245152,NA,0.921696574225122,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"LACRT",0.0285978436701249,NA,0.920880913539967,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"TDGF1P3",0.0285404222425337,NA,0.920065252854812,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"COL6A3",0.028532603469662,NA,0.919249592169657,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"WNT10B",0.0284530354307186,NA,0.918433931484502,0.00499750124937531,0.0231891629942604,FALSE,"Astro"
"IL37",0.028432041996682,NA,0.917618270799347,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"IL25",0.0283940059440929,NA,0.916802610114193,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"FBLN2",0.0283398963940894,NA,0.915986949429037,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"COL13A1",0.0282176400756703,NA,0.915171288743883,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"CER1",0.0281906040223593,NA,0.914355628058728,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"ANG",0.0280792545572853,NA,0.913539967373573,0.00499750124937531,0.0231891629942604,FALSE,"Astro"
"MAG",0.0280197752331655,NA,0.912724306688418,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"S100A4",0.0278704553496995,NA,0.911908646003263,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"COL22A1",0.0276562334625509,NA,0.911092985318108,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"GLG1",0.0276140220143605,NA,0.910277324632953,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"LRIT1",0.0276088920251225,NA,0.909461663947798,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"BACE2",0.0275816537244103,NA,0.908646003262643,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"BMP8B",0.0275788062001149,NA,0.907830342577488,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"CGB7",0.0275761041577458,NA,0.906606851549755,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"LOC101059948",0.0275761041577458,NA,0.906606851549755,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"ZDHHC5",0.0274997999373967,NA,0.905383360522023,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"APOD",0.0274928254525592,NA,0.904567699836868,0.00199900049975012,0.0174912543728136,TRUE,"Astro"
"CCL26",0.0274911269760819,NA,0.903752039151713,0.00849575212393803,0.0279766030963013,FALSE,"Astro"
"APELA",0.027430132266081,NA,0.902936378466558,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"SHBG",0.0274202747483924,NA,0.902120717781403,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"PSG9",0.0273373542699573,NA,0.901305057096248,0.000499750124937531,0.0105550672939392,FALSE,"Astro"
"NXPH1",0.0272429275731185,NA,0.900489396411093,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"NPW",0.0271569795154594,NA,0.899673735725938,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"CCL23",0.0271127984705828,NA,0.898858075040783,0.0229885057471264,0.0444880245501262,FALSE,"Astro"
"PCDH15",0.026995694898431,NA,0.898042414355628,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
