motif,mapped_gene,family,celltype,dz,cv_p,cv_padj,is_foreground
EWSR1-FLI1,EWSR1-FLI1,other,Astro,-0.0942801309441713,0.463549460150717,0.979336604887158,False
REST,REST,other,Astro,-0.0883389401302017,0.506240726339371,0.979336604887158,False
NFATC2,NFATC2,other,Astro,0.0403799199388108,0.74640990094317,0.979336604887158,False
INSM1,INSM1,other,Astro,-0.105467376993723,0.448349592315745,0.979336604887158,False
RARA::RXRA,RARA,NR,Astro,-0.0329055262951161,0.775039404589772,0.979336604887158,False
RARA::RXRA,RXRA,NR,Astro,-0.0329055262951161,0.775039404589772,0.979336604887158,False
NR4A2,NR4A2,NR,Astro,-0.056629885363247,0.627353152327029,0.979336604887158,False
PLAG1,PLAG1,other,Astro,-0.0885939439767238,0.504707601617033,0.979336604887158,False
ARNT::HIF1A,ARNT,bHLH-other,Astro,0.0358598452524443,0.59993606300285,0.979336604887158,False
ARNT::HIF1A,HIF1A,bHLH-other,Astro,0.0358598452524443,0.59993606300285,0.979336604887158,False
DUX4,DUX4,other,Astro,-0.0366660028567812,0.766052058489825,0.979336604887158,False
FOS,FOS,AP-1,Astro,0.679970290957166,0.260446910634282,0.979336604887158,False
FOSL2,FOSL2,AP-1,Astro,0.725984692939702,0.241724140586535,0.979336604887158,False
FOXH1,FOXH1,FOX,Astro,-0.145377125879304,0.126548153088429,0.979336604887158,False
JUN,JUN,AP-1,Astro,0.0721776360465757,0.640043669982295,0.979336604887158,False
JUN(var.2),JUN,AP-1,Astro,0.638767632268637,0.274486897599962,0.979336604887158,False
JUND(var.2),JUND,AP-1,Astro,0.0443816187459709,0.774799756482742,0.979336604887158,False
MEF2C,MEF2C,other,Astro,0.0952487848975254,0.463531068845154,0.979336604887158,False
MAF::NFE2,MAF,other,Astro,0.416856791849322,0.163944228635621,0.979336604887158,False
MAF::NFE2,NFE2,other,Astro,0.416856791849322,0.163944228635621,0.979336604887158,False
NR2C2,NR2C2,NR,Astro,-0.0865122959720279,0.535994865587959,0.979336604887158,False
NRF1,NRF1,other,Astro,0.0756382670391867,0.490431693511559,0.979336604887158,False
POU2F2,POU2F2,homeobox-other,Astro,-0.195296703858042,0.128611222653223,0.979336604887158,False
SMAD2::SMAD3::SMAD4,SMAD2,SMAD,Astro,-0.154206397306983,0.304183187966723,0.979336604887158,False
SMAD2::SMAD3::SMAD4,SMAD3,SMAD,Astro,-0.154206397306983,0.304183187966723,0.979336604887158,False
SMAD2::SMAD3::SMAD4,SMAD4,SMAD,Astro,-0.154206397306983,0.304183187966723,0.979336604887158,False
STAT1::STAT2,STAT1,STAT,Astro,0.133203149267674,0.229968552092827,0.979336604887158,False
STAT1::STAT2,STAT2,STAT,Astro,0.133203149267674,0.229968552092827,0.979336604887158,False
TCF7L2,TCF7L2,TCF-LEF,Astro,-0.0686311843904075,0.481017364068105,0.979336604887158,False
ZBTB33,ZBTB33,ZBTB,Astro,0.0343736699572473,0.651422633689674,0.979336604887158,False
ELK4,ELK4,ETS,Astro,-0.158725229270243,0.169887874755862,0.979336604887158,False
ESR2,ESR2,NR,Astro,-0.0706557804960053,0.576166864152038,0.979336604887158,False
IRF1,IRF1,IRF,Astro,0.12501755526553,0.286197632039475,0.979336604887158,False
STAT1,STAT1,STAT,Astro,-0.236434036462499,0.533284456484758,0.979336604887158,False
STAT3,STAT3,STAT,Astro,-0.218123120382915,0.511039770790171,0.979336604887158,False
GATA1::TAL1,GATA1,GATA,Astro,-0.148954170779275,0.369863195935755,0.979336604887158,False
GATA1::TAL1,TAL1,other,Astro,-0.148954170779275,0.369863195935755,0.979336604887158,False
YY1,YY1,other,Astro,-0.0802151540096856,0.318820585004875,0.979336604887158,False
FOXP2,FOXP2,FOX,Astro,0.0020993166430856,0.984850662149123,0.995976016570843,False
SREBF1,SREBF1,bHLH-other,Astro,-0.0930460259695421,0.543285186154864,0.979336604887158,False
SREBF2,SREBF2,bHLH-other,Astro,-0.0941247044470315,0.423606209079242,0.979336604887158,False
THAP1,THAP1,other,Astro,-0.0650381599170032,0.603419178696746,0.979336604887158,False
KLF5,KLF5,KLF-SP,Astro,-0.059686625865204,0.649646382097741,0.979336604887158,False
DMRT3,DMRT3,other,Astro,-0.0355406236000399,0.742927075809316,0.979336604887158,False
FOXG1,FOXG1,FOX,Astro,-0.0275435030716207,0.814092463585285,0.979336604887158,False
LBX1,LBX1,other,Astro,-0.101108907772016,0.591162735466573,0.979336604887158,False
NFATC3,NFATC3,other,Astro,0.0628670511080103,0.584352559621293,0.979336604887158,False
POU6F1,POU6F1,homeobox-other,Astro,-0.127859042050462,0.365364826486262,0.979336604887158,False
SHOX,SHOX,other,Astro,-0.190988611803952,0.429228099066499,0.979336604887158,False
ALX3,ALX3,other,Astro,-0.134828053602634,0.50581393379048,0.979336604887158,False
BARHL2,BARHL2,homeobox-other,Astro,-0.0583658433008375,0.387889803619967,0.979336604887158,False
BHLHE41,BHLHE41,bHLH-neural,Astro,0.0588368450912019,0.576650890605617,0.979336604887158,False
CENPB,CENPB,other,Astro,-0.0130188004520501,0.838559445950231,0.988226009019425,False
CREB3,CREB3,other,Astro,0.060665508514282,0.539181520434185,0.979336604887158,False
DBP,DBP,other,Astro,-0.0372751397526572,0.73342052508059,0.979336604887158,False
ELF4,ELF4,ETS,Astro,-0.138527198083945,0.196308567102666,0.979336604887158,False
ELF5,ELF5,ETS,Astro,-0.183788200876887,0.0421814938434398,0.979336604887158,True
EN1,EN1,homeobox-other,Astro,-0.107190394366992,0.599918123974947,0.979336604887158,False
EN2,EN2,homeobox-other,Astro,-0.126350861992799,0.52232308275911,0.979336604887158,False
ESX1,ESX1,other,Astro,-0.16400818429779,0.411370184041614,0.979336604887158,False
ETV6,ETV6,ETS,Astro,-0.222962158488001,0.0260701025377356,0.979336604887158,True
FLI1,FLI1,ETS,Astro,-0.116648846563252,0.257893938481872,0.979336604887158,False
FOXI1,FOXI1,FOX,Astro,0.0032002904168574,0.981068438697591,0.995976016570843,False
FOXL1,FOXL1,FOX,Astro,0.0032002904168574,0.981068438697591,0.995976016570843,False
FOXO3,FOXO3,FOX,Astro,-0.0275435030716207,0.814092463585285,0.979336604887158,False
GCM1,GCM1,other,Astro,-0.0550641848462314,0.626877835309619,0.979336604887158,False
GRHL1,GRHL1,other,Astro,0.0310405932311378,0.651312199093514,0.979336604887158,False
GSC,GSC,other,Astro,-0.0354318974498553,0.667868625264915,0.979336604887158,False
HEY2,HEY2,bHLH-neural,Astro,0.0640400814900823,0.522186841290407,0.979336604887158,False
HINFP,HINFP,other,Astro,0.0736972390364384,0.624259239141225,0.979336604887158,False
HNF1A,HNF1A,other,Astro,0.0293607226548578,0.777181182509562,0.979336604887158,False
HNF1B,HNF1B,other,Astro,0.0165076339121848,0.847201160116045,0.988541523911787,False
HOXC11,HOXC11,HOX,Astro,-0.0043239875205977,0.940434079854734,0.995976016570843,False
HSF1,HSF1,other,Astro,0.102350023967563,0.317295858951881,0.979336604887158,False
IRF8,IRF8,IRF,Astro,0.0630770810265024,0.578537008276858,0.979336604887158,False
IRF9,IRF9,IRF,Astro,0.0922151666113844,0.404565753266341,0.979336604887158,False
ISX,ISX,other,Astro,-0.190988611803952,0.429228099066499,0.979336604887158,False
JDP2,JDP2,AP-1,Astro,0.479738962954536,0.306481839704974,0.979336604887158,False
JDP2(var.2),JDP2,AP-1,Astro,0.128458609882849,0.489657842984562,0.979336604887158,False
KLF13,KLF13,KLF-SP,Astro,0.0072110214146711,0.96020388107311,0.995976016570843,False
LHX6,LHX6,homeobox-other,Astro,-0.139984763648693,0.460111383479861,0.979336604887158,False
MEF2B,MEF2B,other,Astro,0.029325105944515,0.806520922859101,0.979336604887158,False
MEOX1,MEOX1,other,Astro,-0.169356293068781,0.39545957814502,0.979336604887158,False
MIXL1,MIXL1,other,Astro,-0.116074907328053,0.55720534162088,0.979336604887158,False
MLX,MLX,bHLH-other,Astro,0.109359349305621,0.333961711012696,0.979336604887158,False
MLXIPL,MLXIPL,bHLH-other,Astro,0.0778600500983748,0.521757141272808,0.979336604887158,False
MSC,MSC,bHLH-neural,Astro,-0.125922022568576,0.362459909564816,0.979336604887158,False
MSX1,MSX1,other,Astro,-0.123165067092933,0.520599540302103,0.979336604887158,False
MYF6,MYF6,bHLH-neural,Astro,-0.0693708386452816,0.567841421455913,0.979336604887158,False
NEUROD2,NEUROD2,bHLH-neural,Astro,-0.162658679822483,0.179846544447543,0.979336604887158,False
NEUROG2,NEUROG2,bHLH-neural,Astro,-0.165439626888878,0.18996204411024,0.979336604887158,False
NFIA,NFIA,other,Astro,0.207794988457872,0.233281227062137,0.979336604887158,False
NFIX,NFIX,other,Astro,0.0384349648687303,0.804214716473944,0.979336604887158,False
NHLH1,NHLH1,bHLH-neural,Astro,-0.0877021437919032,0.604052348986432,0.979336604887158,False
NKX2-3,NKX2-3,homeobox-other,Astro,-0.104627021582789,0.259540982748677,0.979336604887158,False
NKX2-8,NKX2-8,homeobox-other,Astro,-0.041267379067654,0.662714650675803,0.979336604887158,False
NKX6-1,NKX6-1,homeobox-other,Astro,-0.18701517546638,0.380315360493326,0.979336604887158,False
NKX6-2,NKX6-2,homeobox-other,Astro,-0.18701517546638,0.380315360493326,0.979336604887158,False
OLIG2,OLIG2,bHLH-neural,Astro,-0.134831199188513,0.26267571603525,0.979336604887158,False
PAX4,PAX4,homeobox-other,Astro,-0.19043103565739,0.43928970737023,0.979336604887158,False
PAX7,PAX7,homeobox-other,Astro,-0.110366458365896,0.212989166908353,0.979336604887158,False
POU4F2,POU4F2,homeobox-other,Astro,-0.0998655019565233,0.393513502222013,0.979336604887158,False
SP4,SP4,KLF-SP,Astro,0.0206967080812388,0.892131439888615,0.988541523911787,False
SPDEF,SPDEF,ETS,Astro,-0.0246809331468857,0.689249304925485,0.979336604887158,False
SPIC,SPIC,ETS,Astro,-0.0940115943279657,0.210095051966452,0.979336604887158,False
SRF,SRF,other,Astro,0.0059046551458399,0.955440177768686,0.995976016570843,False
TBXT,TBXT,other,Astro,-0.124280610349366,0.237733369987663,0.979336604887158,False
TBX2,TBX2,other,Astro,-0.0249899290426482,0.839914048740048,0.988226009019425,False
TBX20,TBX20,other,Astro,-0.021157854833649,0.86644240101617,0.988541523911787,False
TBX21,TBX21,other,Astro,-0.0473443552474133,0.690846340178282,0.979336604887158,False
TFAP4,TFAP4,other,Astro,-0.0431082494013394,0.763256668281356,0.979336604887158,False
TFCP2,TFCP2,other,Astro,-0.0098435754267196,0.858101241347293,0.988541523911787,False
TFEB,TFEB,bHLH-other,Astro,0.0929451561881484,0.450876246579441,0.979336604887158,False
ZBTB7B,ZBTB7B,ZBTB,Astro,-0.0565573239249409,0.701234370044996,0.979336604887158,False
ZBTB7C,ZBTB7C,ZBTB,Astro,-0.0468206429342007,0.742422138350994,0.979336604887158,False
ZIC1,ZIC1,other,Astro,0.0071975505356556,0.954701499598946,0.995976016570843,False
ZIC3,ZIC3,other,Astro,0.0099989994823443,0.936683595321109,0.995976016570843,False
ZBTB18,ZBTB18,ZBTB,Astro,-0.106445018211269,0.617748510903516,0.979336604887158,False
LBX2,LBX2,other,Astro,-0.177154095011481,0.464229771971842,0.979336604887158,False
MEOX2,MEOX2,other,Astro,-0.137425174636773,0.402200219109359,0.979336604887158,False
MNX1,MNX1,other,Astro,-0.110023628329858,0.551731922029216,0.979336604887158,False
MSX2,MSX2,other,Astro,-0.123165067092933,0.520599540302103,0.979336604887158,False
NOTO,NOTO,other,Astro,-0.178692646048606,0.454372743174793,0.979336604887158,False
OTX1,OTX1,homeobox-other,Astro,0.0185725754041237,0.811575548824907,0.979336604887158,False
PDX1,PDX1,other,Astro,-0.0551932881069033,0.753328447569121,0.979336604887158,False
PHOX2A,PHOX2A,other,Astro,-0.0400549211808029,0.729607969623395,0.979336604887158,False
PITX3,PITX3,other,Astro,0.0087855401872053,0.915909266093774,0.992613754768314,False
