gene,celltype,motif,family,is_foreground,dz,cv_p,cv_padj,rna_lfc,rna_se,rna_ci_lo,rna_ci_hi,rna_p,rna_q,rna_baseMean,testable,cv_sign,rna_sign,concordant,category
HOXD9,Micro,HOXD9,HOX,True,0.249072251362974,0.0454600020995591,0.989669368953255,,,,,,,,False,1.0,,,D_not_testable
MYF5,OPC,MYF5,bHLH-neural,True,-0.447475769414756,0.0295418886746378,0.999690290203973,,,,,,,,False,-1.0,,,D_not_testable
NR2C1,Endo,NR2C1,NR,True,-0.196265384444158,0.0472563355821545,0.985520413099923,0.2312630397137896,0.2802725301627231,-0.31807111940514765,0.7805971988327268,0.4092942106253469,0.9965449463526324,16.823190300429477,True,-1.0,1.0,0.0,C_discordant
RFX1,Astro,RFX1,RFX,True,0.367045544583244,0.047010349960884,0.979336604887158,0.2863456826423443,0.2417244953277098,-0.18743432819996692,0.7601256934846554,0.2361775263590805,0.7092875741606882,18.922715540782907,True,1.0,1.0,1.0,B_concordant_q>=0.05
SMAD5,Endo,SMAD5,SMAD,True,-0.203309841043317,0.0142224192990412,0.985520413099923,-0.1334616603852731,0.2170953297219112,-0.558968506640219,0.2920451858696729,0.5387128168202377,0.9982206668978284,31.4712268761556,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
SOX8,Endo,SOX8,SOX,True,-0.258957323186905,0.0282698647994311,0.985520413099923,0.5534637410525893,0.7319547642317613,-0.8811675968416628,1.9880950789468415,0.4495624232939572,0.9982206668978284,2.986906917745731,True,-1.0,1.0,0.0,C_discordant
SOX9,Endo,SOX9,SOX,True,-0.324515537837425,0.0134833660910064,0.985520413099923,0.3332943014489718,0.7111816075901687,-1.060621649427759,1.7272102523257025,0.6393207956720883,0.9982206668978284,7.858134136607726,True,-1.0,1.0,0.0,C_discordant
SPIB,Astro,SPIB,ETS,True,-0.239061070951833,0.0046944023142192,0.5172314842459,0.3143629362217333,0.9146680594192742,-1.478386460240044,2.107112332683511,0.7310788807543951,,0.7838143796367145,True,-1.0,1.0,0.0,C_discordant
TCF7L1,Endo,TCF7L1,TCF-LEF,True,-0.380803820040571,0.0221772438447811,0.985520413099923,0.0583374345915871,0.2501052698014588,-0.43186889421927216,0.5485437634024464,0.8155661009860072,0.9982206668978284,24.535233337460745,True,-1.0,1.0,0.0,C_discordant
TCF7L2,Endo,TCF7L2,TCF-LEF,True,-0.392759443732729,0.0243472681452836,0.985520413099923,0.0532416573375978,0.2397264689587638,-0.41662222182157926,0.5231055364967748,0.8242412055580233,0.9982206668978284,60.15501960376351,True,-1.0,1.0,0.0,C_discordant
TP63,Micro,TP63,TP53fam,True,0.163141909359496,0.0343757016412489,0.989669368953255,-0.2818105256657907,1.097745638487716,-2.433391977101714,1.869770925770133,0.7973968543113177,,1.5568299824931642,True,1.0,-1.0,0.0,C_discordant
TP73,Micro,TP73,TP53fam,True,0.21489533346814,0.0416746088026931,0.989669368953255,,,,,,,,False,1.0,,,D_not_testable
TWIST1,OPC,TWIST1,TWIST,True,-0.269388578055395,0.0244740238619604,0.999690290203973,,,,,,,,False,-1.0,,,D_not_testable
