gene	celltype	frozen_direction	frozen_log2FC	baseMean	betaConv	HA_YA_LFC_coef	AD_HA_LFC_coef	AD_YA_LFC_coef	coefficient_identity_error	HA_YA_LFC_raw	AD_HA_LFC_raw	AD_YA_LFC_raw	results_identity_error	HA_YA_LFC_ashr	AD_HA_LFC_ashr	AD_YA_LFC_ashr	A_raw	D_raw	T_raw_sum	T_raw_direct	raw_identity_error	A	D	T_class	T_direct_shrunk	T_discrepancy	delta_final	category_margin_D_minus_delta	aging_projection_status	trajectory_category	trajectory_subflag	trajectory_category_rawLFC	pvalue_HA_YA	padj_HA_YA	pvalue_AD_HA	padj_AD_HA	pvalue_AD_YA	padj_AD_YA
USH2A	Astro	DOWN	-1.21247415734756	8.79869943018004	True	-1.21072295634684	0.299117946530427	-0.911605009816415	0.0	-1.21072295634684	0.299117946530427	-0.911605009816415	1.11022302462516e-16	-1.00295896455517	0.119946370371442	-0.580721586901371	1.21072295634684	-0.299117946530427	0.911605009816413	0.911605009816415	1.9984014443252818e-15	1.00295896455517	-0.119946370371442	0.883012594183728	0.580721586901371	-0.302291007282357	0.501479482277585	-0.6214258526490269	eligible	maintained		maintained	8.54376396545955e-06	0.008825233522766	0.304406017112485	0.575282517866254	0.0023889230595973	0.0297902390657901
IGFBP5	Astro	UP	1.58079016684165	288.37889986529	True	1.60862990662158	0.671879001019668	2.28050890764125	0.0	1.60862990662158	0.671879001019668	2.28050890764125	0.0	0.902237388255093	0.209061057518081	1.8169456723334	1.60862990662158	0.671879001019668	2.2805089076412477	2.28050890764125	2.220446049250313e-15	0.902237388255093	0.209061057518081	1.111298445773174	1.8169456723334	0.705647226560226	0.4511186941275465	-0.24205763660946553	eligible	maintained		maintained	0.0001421872263736	0.0347853565784924	0.109182422242969	0.332791997950759	1.42480031610463e-07	3.8393206199034e-05
CXCL2	Astro	UP	2.22433812607268	11.8902305708658	True	2.17928692812556	-1.75675056624293	0.422536361882629	-5.55111512312578e-17	2.17928692812556	-1.75675056624293	0.422536361882629	-2.77555756156289e-16	0.568839856195072	-0.491185125418037	0.076423545150908	2.17928692812556	-1.75675056624293	0.4225363618826299	0.422536361882629	-8.881784197001252e-16	0.568839856195072	-0.491185125418037	0.07765473077703505	0.076423545150908	-0.0012311856261270487	0.284419928097536	-0.775605053515573	eligible	AD_attenuated		AD_attenuated	0.0004586262212583	0.053295233324104	0.0044390065253186	0.053303448873747	0.531600151674796	0.754393362312149
LYPD6	Astro	DOWN	-0.656029444424501	180.716477066566	True	-0.637680735853368	0.529847826148021	-0.107832909705347	-1.38777878078145e-17	-0.637680735853368	0.529847826148021	-0.107832909705347	-1.38777878078145e-17	-0.215518035121824	0.305203613779115	-0.0527715467711568	0.637680735853368	-0.529847826148021	0.10783290970534709	0.107832909705347	-9.71445146547012e-17	0.215518035121824	-0.305203613779115	-0.08968557865729099	0.0527715467711568	0.1424571254284478			weak_indeterminate	weak_indeterminate_aging_projection		AD_attenuated	0.005383189838188	0.182104204442813	0.0215819120087425	0.133604487140011	0.648970419276415	0.826166081121005
CHST9	Astro	UP	0.988510866891416	230.849082254517	True	0.997107077817516	-0.566084807001391	0.431022270816125	0.0	0.997107077817516	-0.566084807001391	0.431022270816125	0.0	0.530951822330988	-0.264605705076275	0.197883002670543	0.997107077817516	-0.566084807001391	0.431022270816125	0.431022270816125	0.0	0.530951822330988	-0.264605705076275	0.266346117254713	0.197883002670543	-0.06846311458417001	0.265475911165494	-0.530081616241769	eligible	maintained		AD_attenuated	0.0005652013933274	0.0620987083227222	0.0502762041306554	0.217585715455279	0.149193926914398	0.383886338654775
ADAMTS19	Astro	DOWN	-2.97952293132605	20.844121002474	True	-2.61087502452824	-0.601844970434584	-3.21271999496283	0.0	-2.61087502452824	-0.601844970434584	-3.21271999496283	4.44089209850063e-16	-0.869771601052834	-0.083599847295941	-1.81565039573026	2.61087502452824	0.601844970434584	3.212719994962824	3.21271999496283	5.773159728050814e-15	0.869771601052834	0.083599847295941	0.953371448348775	1.81565039573026	0.8622789473814851	0.434885800526417	-0.351285953230476	eligible	maintained		maintained	9.01211267491722e-05	0.0288900363732303	0.406607167187329	0.664775699431846	1.01060235972205e-05	0.0007063958524177
CRB2	Astro	UP	0.935309385503579	79.7102542687049	True	0.95082740821816	-0.133560343349062	0.817267064869098	0.0	0.95082740821816	-0.133560343349062	0.817267064869098	-1.11022302462516e-16	0.712245525739966	-0.0626533293714868	0.578273750262043	0.95082740821816	-0.133560343349062	0.8172670648690981	0.817267064869098	-1.1102230246251565e-16	0.712245525739966	-0.0626533293714868	0.6495921963684792	0.578273750262043	-0.07131844610643623	0.356122762869983	-0.41877609224146983	eligible	maintained		maintained	6.8742226508543e-05	0.0245793118744873	0.568643409965523	0.782598738646615	0.0011005403028953	0.017670419561082
COL8A1	Astro	UP	1.53374903839864	22.8050803977322	True	2.12704781992095	0.75630883232276	2.88335665224371	0.0	2.12704781992095	0.75630883232276	2.88335665224371	0.0	0.826726754543974	0.184924190499223	2.03263716098912	2.12704781992095	0.75630883232276	2.8833566522437097	2.88335665224371	4.440892098500626e-16	0.826726754543974	0.184924190499223	1.011650945043197	2.03263716098912	1.020986215945923	0.413363377271987	-0.228439186772764	eligible	maintained		maintained	0.0001716215275414	0.0384452898985273	0.137191707080367	0.374939524080603	5.86370439060666e-07	9.31827826791023e-05
COL26A1	Astro	DOWN	-1.27545892289407	13.1046826169529	True	-1.22170018009004	0.0528748394565175	-1.16882534063352	0.0	-1.22170018009004	0.0528748394565175	-1.16882534063352	0.0	-0.678079723064327	0.0160795387719418	-0.69959231092268	1.22170018009004	-0.0528748394565175	1.1688253406335225	1.16882534063352	-2.4424906541753444e-15	0.678079723064327	-0.0160795387719418	0.6620001842923852	0.69959231092268	0.037592126630294875	0.3390398615321635	-0.35511940030410527	eligible	maintained		maintained	0.0003360232738026	0.0468152422894633	0.884928052706338	0.950468545770708	0.0016500929558885	0.0232249646698221
APOD	Astro	UP	1.83084605925461	130.151660952626	True	1.84419732285044	-0.541970482817765	1.30222684003268	0.0	1.84419732285044	-0.541970482817765	1.30222684003268	2.2204460492503099e-16	0.766495486982668	-0.125122463885655	0.500317263373987	1.84419732285044	-0.541970482817765	1.302226840032675	1.30222684003268	4.884981308350689e-15	0.766495486982668	-0.125122463885655	0.6413730230970129	0.500317263373987	-0.14105575972302598	0.383247743491334	-0.508370207376989	eligible	maintained		maintained	0.0002662143902318	0.044193965692686	0.280687779295126	0.550594882764765	0.0122647770557118	0.0871417154560378
OTOS	Astro	UP	2.27294470544132	7.99436261722643	True	2.27108005122343	-0.864535474319047	1.40654457690438	0.0	2.27108005122343	-0.864535474319047	1.40654457690438	-2.2204460492503099e-16	0.67088814874909	-0.181978657182682	0.347263773788164	2.27108005122343	-0.864535474319047	1.406544576904383	1.40654457690438	-2.886579864025407e-15	0.67088814874909	-0.181978657182682	0.48890949156640795	0.347263773788164	-0.14164571777824397	0.335444074374545	-0.517422731557227	eligible	maintained		maintained	0.0002747360454813	0.044887588053905	0.13294197558713	0.369002773307769	0.0376444261064723	0.171854365590049
KITLG	Astro	UP	0.833644985927399	173.249405951311	True	0.818285830764662	0.718733225456032	1.53701905622069	0.0	0.818285830764662	0.718733225456032	1.53701905622069	2.2204460492503099e-16	0.284425422399556	0.408141898239588	1.33662126948697	0.818285830764662	0.718733225456032	1.537019056220694	1.53701905622069	-3.9968028886505635e-15	0.284425422399556	0.408141898239588	0.6925673206391441	1.33662126948697	0.6440539488478259	0.25	0.15814189823958802	eligible	amplified		amplified	0.0032253485775195	0.144156024283224	0.0083727020596527	0.0774108188615322	6.80406619420806e-08	2.21943864471773e-05
FN1	Astro	DOWN	-1.51092209218737	136.921537604977	True	-1.5802141305875	0.400271979575749	-1.17994215101175	0.0	-1.5802141305875	0.40027197957575	-1.17994215101175	0.0	-0.586729995733366	0.0973867990946635	-0.482056941609669	1.5802141305875	-0.40027197957575	1.1799421510117498	1.17994215101175	2.220446049250313e-16	0.586729995733366	-0.0973867990946635	0.4893431966387025	0.482056941609669	-0.007286255029033517	0.293364997866683	-0.39075179696134654	eligible	maintained		maintained	0.0006600319583256	0.068542366291141	0.392517471335902	0.653743155275164	0.0134997220854576	0.0924835419067474
