celltype,dropped_donor,n_YA,n_HA,log2fc,p
DG_GC,15,8,8,2.549127719918733,0.4418026418026417
DG_GC,16,8,8,2.2207439576079437,0.5737373737373737
DG_GC,2,7,9,2.764358217999425,0.4078671328671329
DG_GC,28,8,8,2.721063203088463,0.32820512820512815
DG_GC,29,7,9,2.9889511818362124,0.29912587412587416
DG_GC,30,7,9,2.17453839780798,0.7576923076923078
DG_GC,32,8,8,2.614876048180688,0.32820512820512815
DG_GC,35,8,8,2.2807744802668704,0.5737373737373737
DG_GC,37,8,8,2.4834107698849133,0.4418026418026417
DG_GC,39,7,9,2.9789964385010124,0.29912587412587416
DG_GC,43,7,9,2.8651922343694847,0.4078671328671329
DG_GC,44,8,8,2.190096698386584,0.7209013209013208
DG_GC,45,7,9,2.580131347549534,0.6064685314685315
DG_GC,47,7,9,2.558784628018444,0.6064685314685315
DG_GC,7,7,9,0.38682943577944373,0.7576923076923078
Endo,<none>,8,9,0.05537722843991677,0.9625668449197862
Endo,11,8,8,0.010979609476546415,0.959129759129759
Endo,14,8,8,0.28559040848620576,0.8784770784770783
Endo,15,8,8,-0.14303242492542445,0.7209013209013208
Endo,16,8,8,0.14203033403970622,1.0
Endo,2,7,9,-0.08305780617613401,0.7576923076923078
Endo,28,8,8,-0.010465044158055825,0.8784770784770783
Endo,29,7,9,0.14282336107808113,0.9181818181818182
Endo,30,7,9,0.023616373938832425,0.9181818181818182
Endo,32,8,8,0.1508534782948825,1.0
Endo,35,8,8,-0.1426503176054439,0.7209013209013208
Endo,37,8,8,0.19851612346581415,0.8784770784770783
Endo,39,7,9,0.18785808543086713,0.9181818181818182
Endo,43,7,9,0.1293944941827938,1.0
Endo,44,8,8,0.006572888885025385,0.959129759129759
Endo,45,7,9,0.3370376548321037,0.7576923076923078
Endo,47,7,9,-0.21401467678117125,0.6064685314685315
Endo,7,7,9,-0.0806396589860423,0.7576923076923078
Ependymal,<none>,8,9,1.231530984545424,0.9625668449197862
Ependymal,11,8,8,1.3777190330478595,0.8784770784770783
Ependymal,14,8,8,1.3530793512625312,0.8784770784770783
Ependymal,15,8,8,0.8356901154336249,0.7984459984459983
Ependymal,16,8,8,1.259261193278184,0.8784770784770783
Ependymal,2,7,9,1.526509734508501,0.8370629370629371
Ependymal,28,8,8,1.101695928236734,0.959129759129759
Ependymal,29,7,9,1.5496970069802707,0.8370629370629371
Ependymal,30,7,9,1.1807434277451385,0.8370629370629371
Ependymal,32,8,8,0.9961745301989531,0.8784770784770783
Ependymal,35,8,8,1.1868609515686899,0.8784770784770783
Ependymal,37,8,8,1.6630425041841885,0.7209013209013208
Ependymal,39,7,9,1.7591580498055563,0.6805944055944056
Ependymal,43,7,9,1.4848618390874435,0.8370629370629371
Ependymal,44,8,8,1.3102552536980463,0.8784770784770783
Ependymal,45,7,9,1.5890697181096556,0.7576923076923078
Ependymal,47,7,9,1.0923306689371675,0.8370629370629371
Ependymal,7,7,9,-0.33012256881033686,0.7576923076923078
Immature,<none>,8,9,1.826226508362323,0.7429864253393665
Immature,11,8,8,1.6961915071902487,0.8784770784770783
Immature,14,8,8,1.720123663214867,0.7984459984459983
Immature,15,8,8,1.7035496770316563,0.7984459984459983
Immature,16,8,8,1.9236853212838136,0.7209013209013208
Immature,2,7,9,1.8456288161803815,1.0
Immature,28,8,8,1.8809054517517705,0.7209013209013208
Immature,29,7,9,2.241078299781819,0.4078671328671329
Immature,30,7,9,1.8859446734278684,1.0
Immature,32,8,8,1.7834646799377882,0.7209013209013208
Immature,35,8,8,1.978239456899141,0.7209013209013208
Immature,37,8,8,1.9732682238551398,0.7209013209013208
Immature,39,7,9,2.3199718990666565,0.4078671328671329
Immature,43,7,9,2.2276498965298615,0.46975524475524477
Immature,44,8,8,1.776610594096475,0.7209013209013208
Immature,45,7,9,0.34332761895353414,1.0
Immature,47,7,9,1.5397718921261099,1.0
Immature,7,7,9,2.2064389708323535,0.6064685314685315
InN,<none>,8,9,-0.09684824680309667,0.7429864253393665
InN,11,8,8,-0.07609393887325133,0.7209013209013208
InN,14,8,8,-0.02631935971717514,0.6453768453768453
InN,15,8,8,-0.13119589519267016,0.7984459984459983
InN,16,8,8,-0.0602773576999418,0.6453768453768453
InN,2,7,9,-0.05807170139813511,0.5360139860139861
InN,28,8,8,-0.2050354306538944,0.959129759129759
InN,29,7,9,-0.0822361955798181,0.6064685314685315
InN,30,7,9,-0.19913928114995283,1.0
InN,32,8,8,-0.07104926388313793,0.7209013209013208
InN,35,8,8,-0.09140424374042766,0.7209013209013208
InN,37,8,8,-0.16898818250857595,0.959129759129759
InN,39,7,9,-0.034424445726282116,0.5360139860139861
InN,43,7,9,-0.2941862251882714,1.0
InN,44,8,8,-0.041270548958794784,0.6453768453768453
InN,45,7,9,-0.24701900395103404,1.0
InN,47,7,9,-0.1463979738008252,0.8370629370629371
InN,7,7,9,0.286688852369549,0.4078671328671329
Micro,<none>,8,9,1.5092478890919163,0.00032908268202385847
Micro,11,8,8,1.359144351295332,0.0006216006216006216
Micro,14,8,8,1.472542989864198,0.0006216006216006216
Micro,15,8,8,1.5121031764041675,0.0006216006216006216
Micro,16,8,8,1.5689571964818096,0.0006216006216006216
Micro,2,7,9,1.6552617797871014,0.00034965034965034965
Micro,28,8,8,1.5079476033615213,0.0006216006216006216
Micro,29,7,9,1.5632707462853026,0.0006993006993006993
Micro,30,7,9,1.5070166541091932,0.0006993006993006993
Micro,32,8,8,1.530029595730662,0.0006216006216006216
Micro,35,8,8,1.5659655141328566,0.0006216006216006216
Micro,37,8,8,1.5940703312703333,0.0001554001554001554
Micro,39,7,9,1.2166524633363003,0.0006993006993006993
Micro,43,7,9,1.568798304774735,0.0006993006993006993
Micro,44,8,8,1.4724702432863674,0.0006216006216006216
Micro,45,7,9,1.6330851422472787,0.00034965034965034965
Micro,47,7,9,1.3636941241561051,0.0006993006993006993
Micro,7,7,9,1.5662038980393178,0.0006993006993006993
NSC,<none>,8,9,-1.7143445813236875,8.227067050596462e-05
NSC,11,8,8,-1.527163538150183,0.0001554001554001554
NSC,14,8,8,-1.7641592897552405,0.0001554001554001554
NSC,15,8,8,-1.7441853197641626,0.0001554001554001554
NSC,16,8,8,-1.7502029036872964,0.0001554001554001554
NSC,2,7,9,-1.5767873602335731,0.00017482517482517483
NSC,28,8,8,-1.817460676916764,0.0001554001554001554
NSC,29,7,9,-1.7836478713892268,0.00017482517482517483
NSC,30,7,9,-1.6452323576732963,0.00017482517482517483
NSC,32,8,8,-1.7739256002895205,0.0001554001554001554
NSC,35,8,8,-1.7909788429877116,0.0001554001554001554
NSC,37,8,8,-1.578980840141619,0.0001554001554001554
NSC,39,7,9,-1.5243497066634415,0.00017482517482517483
NSC,43,7,9,-1.7319915896018943,0.00017482517482517483
NSC,44,8,8,-1.6820442202206847,0.0001554001554001554
NSC,45,7,9,-1.801847356611595,0.00017482517482517483
