cohort,target,label,n,frac_above_primary_p5,median_cos,primary_p5,n_common_genes
GSE186538,Neuroblast,EC L6 THEMIS CDH13,724,0.9129834254143646,0.4672389626502991,0.4267177879810333,1846
GSE186538,Neuroblast,EC L2 CUX2 LAMA3,705,0.475177304964539,0.4252657890319824,0.4267177879810333,1846
GSE186538,Neuroblast,EC L6 THEMIS RGS12,87,0.8620689655172413,0.4579545557498932,0.4267177879810333,1846
GSE186538,Neuroblast,EC L2 RELN BMPR1B,141,0.8865248226950354,0.45878779888153076,0.4267177879810333,1846
GSE186538,Neuroblast,InN LAMP5 KIT,1005,0.1791044776119403,0.3962130844593048,0.4267177879810333,1846
GSE186538,Neuroblast,InN LAMP5 CHST9,1703,0.367586611861421,0.41139066219329834,0.4267177879810333,1846
GSE186538,Neuroblast,InN VIP SCTR,700,0.10857142857142857,0.38562729954719543,0.4267177879810333,1846
GSE186538,Neuroblast,InN SST EPB41L4A,568,0.2764084507042254,0.4036520719528198,0.4267177879810333,1846
GSE186538,Neuroblast,InN VIP ABI3BP,1217,0.24322103533278555,0.40059584379196167,0.4267177879810333,1846
GSE186538,Neuroblast,InN PVALB PLCL1,673,0.22734026745913818,0.40617942810058594,0.4267177879810333,1846
GSE186538,Neuroblast,InN SST ADAMTS12,639,0.6071987480438185,0.43742606043815613,0.4267177879810333,1846
GSE186538,Neuroblast,InN LAMP5 NMBR,489,0.30879345603271985,0.40946558117866516,0.4267177879810333,1846
GSE186538,Neuroblast,InN NR2F2 SLC17A8,760,0.6092105263157894,0.4387781322002411,0.4267177879810333,1846
GSE186538,Neuroblast,InN NR2F2 DDR2,208,0.3894230769230769,0.4129437208175659,0.4267177879810333,1846
GSE186538,Neuroblast,InN PVALB PLEKHH2,563,0.3037300177619893,0.4090286195278168,0.4267177879810333,1846
GSE186538,Neuroblast,InN VIP PENK,445,0.31235955056179776,0.4101380705833435,0.4267177879810333,1846
GSE186538,Neuroblast,InN PVALB MEPE,835,0.32934131736526945,0.41169285774230957,0.4267177879810333,1846
GSE186538,Neuroblast,InN SST OTOF,562,0.05871886120996441,0.37487152218818665,0.4267177879810333,1846
GSE186538,Neuroblast,InN LHX6 AC008415.1,294,0.17687074829931973,0.3971804976463318,0.4267177879810333,1846
GSE186538,Neuroblast,InN VIP NOX4,749,0.1348464619492657,0.38598868250846863,0.4267177879810333,1846
GSE186538,Neuroblast,InN VIP SCML4,496,0.41330645161290325,0.4203767776489258,0.4267177879810333,1846
GSE186538,Neuroblast,InN VIP CHRNA2,457,0.3610503282275711,0.41479671001434326,0.4267177879810333,1846
GSE186538,Neuroblast,InN NR2F2 ANO2,445,0.48314606741573035,0.42500248551368713,0.4267177879810333,1846
GSE186538,Neuroblast,InN MEIS2 SHISAL2B,90,0.45555555555555555,0.423264741897583,0.4267177879810333,1846
GSE186538,Neuroblast,InN NR2F2 PTPRK,246,0.21544715447154472,0.3964477777481079,0.4267177879810333,1846
GSE186538,Neuroblast,InN NR2F2 MIR4300HG,352,0.19318181818181818,0.3916770815849304,0.4267177879810333,1846
GSE186538,Neuroblast,InN SST NPY,46,0.21739130434782608,0.40150710940361023,0.4267177879810333,1846
GSE186538,Neuroblast,CR RELN NDNF,31,0.25806451612903225,0.40989112854003906,0.4267177879810333,1846
GSE186538,Neuroblast,VLMC COL1A1 COL1A2,679,0.017673048600883652,0.23737958073616028,0.4267177879810333,1846
GSE186538,Neuroblast,OPC PDGFRA GRIA4,17438,0.024716137171694002,0.34054625034332275,0.4267177879810333,1846
GSE186538,Neuroblast,aSMC ACTA2 TAGLN,572,0.022727272727272728,0.2537565231323242,0.4267177879810333,1846
GSE186538,Neuroblast,Oligo OPALIN LAMA2,36017,0.7400394258266929,0.4779205620288849,0.4267177879810333,1846
GSE186538,Neuroblast,Oligo CPXM2 KANK4,5426,0.8558791006266127,0.5032569766044617,0.4267177879810333,1846
GSE186538,Neuroblast,Oligo OPALIN SLC5A11,30843,0.8611678500794345,0.5098095536231995,0.4267177879810333,1846
GSE186538,Neuroblast,Micro C1QB P2RY12,14233,0.0015457036464554205,0.2869875431060791,0.4267177879810333,1846
GSE186538,Neuroblast,PC CLDN5 ABCC9,742,0.02830188679245283,0.33885741233825684,0.4267177879810333,1846
GSE186538,Neuroblast,Oligo OPALIN LINC01098,3405,0.8555066079295154,0.4993463158607483,0.4267177879810333,1846
GSE186538,Neuroblast,Endo CLDN5 VWF,3458,0.02313475997686524,0.25105196237564087,0.4267177879810333,1846
GSE186538,Neuroblast,vSMC ABCC9 P2RY14,790,0.026582278481012658,0.25983870029449463,0.4267177879810333,1846
GSE186538,Neuroblast,Micro C1QB CD83,2223,0.001799370220422852,0.2931562662124634,0.4267177879810333,1846
GSE186538,Neuroblast,OPC PDGFRA EGR1,2661,0.021044720030063885,0.3479670286178589,0.4267177879810333,1846
GSE186538,Neuroblast,Macro F13A1 COLEC12,273,0.0,0.23786650598049164,0.4267177879810333,1846
GSE186538,Neuroblast,aEndo DKK2 FBLN5,169,0.005917159763313609,0.24328450858592987,0.4267177879810333,1846
GSE186538,Neuroblast,COP GPR17 ADAM33,328,0.08841463414634146,0.36798033118247986,0.4267177879810333,1846
GSE186538,Neuroblast,T SKAP1 CD247,479,0.008350730688935281,0.2045033574104309,0.4267177879810333,1846
GSE186538,Neuroblast,Myeloid LSP1 LYZ,67,0.0,0.23348070681095123,0.4267177879810333,1846
GSE186538,Neuroblast,Astro AQP4 GFAP,17256,0.0023180343069077423,0.2769971191883087,0.4267177879810333,1846
GSE186538,Neuroblast,Astro AQP4 CHRDL1,12538,0.000638060296698038,0.2863553762435913,0.4267177879810333,1846
GSE186538,Immature,CA3 CFAP299 SYN3,4229,0.851737999527075,0.7500531077384949,0.6732231974601746,1846
GSE186538,Immature,EC L5 BCL11B ADRA1A,83,0.5180722891566265,0.675294816493988,0.6732231974601746,1846
GSE186538,Immature,DG MC ARHGAP24 DLC1,444,0.9009009009009009,0.743431568145752,0.6732231974601746,1846
GSE186538,Immature,CA1 dorsal GRIK1 GRM3,2993,0.8062145005011694,0.7170472741127014,0.6732231974601746,1846
GSE186538,Immature,CA2 CFAP299 HGF,108,0.9537037037037037,0.7546091675758362,0.6732231974601746,1846
GSE186538,Immature,CA1 ventral ACVR1C SYT13,2204,0.9736842105263158,0.7537147998809814,0.6732231974601746,1846
GSE186538,Immature,EC L6 TLE4 SULF1,515,0.6174757281553398,0.6831756830215454,0.6732231974601746,1846
GSE186538,Immature,EC L6b TLE4 CCN2,232,0.6508620689655172,0.6837506294250488,0.6732231974601746,1846
GSE186538,Immature,EC L3 PCP4 ADARB2,554,0.44584837545126355,0.6675952672958374,0.6732231974601746,1846
GSE186538,Immature,SUB distal FN1 NTNG1,433,0.8683602771362586,0.7017107009887695,0.6732231974601746,1846
GSE186538,Immature,EC L2 CUX2 CALB1,4001,0.8612846788302925,0.7166994214057922,0.6732231974601746,1846
GSE186538,Immature,SUB proximal ROBO1 COL5A2,1192,0.9446308724832215,0.7449705600738525,0.6732231974601746,1846
GSE186538,Immature,EC L2 CUX2 IL1RAPL2,687,0.826783114992722,0.7049992680549622,0.6732231974601746,1846
GSE186538,Immature,EC L2 RELN BCL11B,197,0.7055837563451777,0.7115142345428467,0.6732231974601746,1846
GSE186538,Immature,DG GC PROX1 SGCZ,29537,0.9842231777093138,0.8113493919372559,0.6732231974601746,1846
GSE186538,Immature,DG GC PROX1 PDLIM5,4470,0.9959731543624161,0.8311578035354614,0.6732231974601746,1846
GSE186538,Immature,SUB proximal ROBO1 SEMA3E,304,0.7138157894736842,0.69346022605896,0.6732231974601746,1846
GSE186538,Immature,EC L2 CUX2 PDGFD,196,0.5204081632653061,0.6752200126647949,0.6732231974601746,1846
GSE186538,Immature,EC L5 RORB TLL1,1443,0.6722106722106722,0.6980009078979492,0.6732231974601746,1846
GSE186538,Immature,EC L5 RORB TPBG,311,0.028938906752411574,0.6244102120399475,0.6732231974601746,1846
GSE186538,Immature,EC L56 TLE4 NXPH2,98,0.25510204081632654,0.6425638198852539,0.6732231974601746,1846
GSE186538,Immature,EC L6 THEMIS CDH13,724,0.9295580110497238,0.7193429470062256,0.6732231974601746,1846
GSE186538,Immature,EC L2 CUX2 LAMA3,705,0.47092198581560285,0.6712185740470886,0.6732231974601746,1846
GSE186538,Immature,EC L6 THEMIS RGS12,87,0.6666666666666666,0.6812225580215454,0.6732231974601746,1846
GSE186538,Immature,EC L2 RELN BMPR1B,141,0.6666666666666666,0.6832951307296753,0.6732231974601746,1846
GSE186538,Immature,InN LAMP5 KIT,1005,0.0,0.569399356842041,0.6732231974601746,1846
GSE186538,Immature,InN LAMP5 CHST9,1703,0.022313564298297124,0.5969725251197815,0.6732231974601746,1846
GSE186538,Immature,InN VIP SCTR,700,0.004285714285714286,0.5802853107452393,0.6732231974601746,1846
GSE186538,Immature,InN SST EPB41L4A,568,0.02992957746478873,0.5900515913963318,0.6732231974601746,1846
GSE186538,Immature,InN VIP ABI3BP,1217,0.0238290879211175,0.5970094799995422,0.6732231974601746,1846
GSE186538,Immature,InN PVALB PLCL1,673,0.020802377414561663,0.6041408181190491,0.6732231974601746,1846
GSE186538,Immature,InN SST ADAMTS12,639,0.14710485133020346,0.629906177520752,0.6732231974601746,1846
GSE186538,Immature,InN LAMP5 NMBR,489,0.00408997955010225,0.5882506966590881,0.6732231974601746,1846
GSE186538,Immature,InN NR2F2 SLC17A8,760,0.0868421052631579,0.6174862384796143,0.6732231974601746,1846
GSE186538,Immature,InN NR2F2 DDR2,208,0.004807692307692308,0.5805492997169495,0.6732231974601746,1846
GSE186538,Immature,InN PVALB PLEKHH2,563,0.012433392539964476,0.5854572057723999,0.6732231974601746,1846
GSE186538,Immature,InN VIP PENK,445,0.029213483146067417,0.5871896147727966,0.6732231974601746,1846
GSE186538,Immature,InN PVALB MEPE,835,0.06706586826347305,0.6184226274490356,0.6732231974601746,1846
GSE186538,Immature,InN SST OTOF,562,0.0017793594306049821,0.546392560005188,0.6732231974601746,1846
GSE186538,Immature,InN LHX6 AC008415.1,294,0.013605442176870748,0.6007546782493591,0.6732231974601746,1846
GSE186538,Immature,InN VIP NOX4,749,0.0053404539385847796,0.5681301355361938,0.6732231974601746,1846
GSE186538,Immature,InN VIP SCML4,496,0.06854838709677419,0.615454375743866,0.6732231974601746,1846
GSE186538,Immature,InN VIP CHRNA2,457,0.0175054704595186,0.5836674571037292,0.6732231974601746,1846
GSE186538,Immature,InN NR2F2 ANO2,445,0.15056179775280898,0.6160060167312622,0.6732231974601746,1846
GSE186538,Immature,InN MEIS2 SHISAL2B,90,0.011111111111111112,0.5693200826644897,0.6732231974601746,1846
GSE186538,Immature,InN NR2F2 PTPRK,246,0.044715447154471545,0.5985036492347717,0.6732231974601746,1846
GSE186538,Immature,InN NR2F2 MIR4300HG,352,0.019886363636363636,0.5942580699920654,0.6732231974601746,1846
GSE186538,Immature,InN SST NPY,46,0.0,0.569839596748352,0.6732231974601746,1846
GSE186538,Immature,CR RELN NDNF,31,0.0,0.553690493106842,0.6732231974601746,1846
GSE186538,Immature,VLMC COL1A1 COL1A2,679,0.0,0.222159743309021,0.6732231974601746,1846
GSE186538,Immature,OPC PDGFRA GRIA4,17438,0.000401422181442826,0.43436169624328613,0.6732231974601746,1846
GSE186538,Immature,aSMC ACTA2 TAGLN,572,0.0,0.22886303067207336,0.6732231974601746,1846
GSE186538,Immature,Oligo OPALIN LAMA2,36017,0.0,0.21475176513195038,0.6732231974601746,1846
GSE186538,Immature,Oligo CPXM2 KANK4,5426,0.0,0.2325352132320404,0.6732231974601746,1846
GSE186538,Immature,Oligo OPALIN SLC5A11,30843,0.0,0.21447770297527313,0.6732231974601746,1846
GSE186538,Immature,Micro C1QB P2RY12,14233,7.025925665706457e-05,0.24960370361804962,0.6732231974601746,1846
GSE186538,Immature,PC CLDN5 ABCC9,742,0.004043126684636119,0.28570640087127686,0.6732231974601746,1846
GSE186538,Immature,Oligo OPALIN LINC01098,3405,0.0,0.2107013612985611,0.6732231974601746,1846
GSE186538,Immature,Endo CLDN5 VWF,3458,0.002891844997108155,0.20915693044662476,0.6732231974601746,1846
