resolution,subcluster,n,n_donors,assigned,top_score,positive_evidence,unstable,frac_YA,Endo,Pericyte,SMC,VLMC,Ependymal,aEndo,mean_CLDN5,mean_FLT1,mean_PECAM1
1.0,7,22,3,Pericyte,0.9012616347170759,True,True,0.9545454545454546,-0.53658189014955,0.9012616347170759,0.10838891115152474,0.3869964529817755,-0.09711138215931979,-0.03758783721562588,0.3117087781429291,1.2913323640823364,0.2828565537929535
1.0,8,53,14,Endo,1.2346378398391435,True,False,0.11320754716981132,1.2346378398391435,-0.479935760541522,-0.11705524859001051,-0.3204134790087646,-0.016567998854619154,-0.051323750498909616,2.1818549633026123,3.24210786819458,1.6478006839752197
1.0,9,46,6,Ependymal,-0.021705296609712682,False,False,0.06521739130434782,-0.6076042849775674,-0.35650829044097754,-0.14553498142007468,-0.2855077196618785,-0.021705296609712682,-0.09922845792079317,0.038045402616262436,0.05591776221990585,0.17128302156925201
1.0,10,92,15,Pericyte,1.1000265710207289,True,False,0.31521739130434784,-0.5943890688514364,1.1000265710207289,0.41428994648482487,0.38020701039355737,-0.042729083260764245,-0.039754418050465375,0.18142558634281158,0.4093811511993408,0.1106419563293457
1.0,11,81,7,Endo,1.5610533193109457,True,False,0.7901234567901234,1.5610533193109457,-0.24394655123455483,-0.08829339810604912,-0.27380305446224446,-0.04789295058191558,0.0004211004869437508,2.2067158222198486,4.079648017883301,2.135176181793213
1.0,12,51,4,Endo,0.9666224889194264,True,False,0.9803921568627451,0.9666224889194264,0.7058100550719697,0.08212751115848815,-0.008399617297976628,-0.1519376128152305,0.0196922253442356,1.8220537900924683,3.6649765968322754,1.9449714422225952
1.0,13,50,5,Endo,1.5899212456385294,True,False,0.02,1.5899212456385294,0.03694596318323875,-0.07207471870978673,-0.2778422908115387,0.3284825425386429,0.001372090927759806,3.0088014602661133,4.158623695373535,1.6953825950622559
1.0,14,34,11,Endo,0.3294859891311795,True,False,0.3235294117647059,0.3294859891311795,-0.03428106979839674,-0.020701052733496123,-0.13048148435704848,0.044234747080241936,-0.04604311450439341,1.298296570777893,2.0704500675201416,0.9278949499130249
1.0,15,12,3,Endo,0.5130925258000691,True,True,0.0,0.5130925258000691,-0.46001413844575817,-0.06300243367751439,-0.287510901927948,-0.08647753318150837,0.48381924536493087,1.2555365562438965,2.3307344913482666,1.827086091041565
1.0,16,21,3,Ependymal,1.3672704897608075,True,True,0.0,0.42850806130303276,0.023578979456730768,-0.07492708602121897,-0.21523420557521641,1.3672704897608075,-0.06543622655764458,1.7671544551849365,2.6825404167175293,0.8400396704673767
