"tf","celltype","contrast","dz","p","padj"
"TBX21","Astro","HAvYA",-0.0473443552474133,0.690846340178282,0.979336604887158
"TFAP4","Astro","HAvYA",-0.0431082494013394,0.763256668281356,0.979336604887158
"TFCP2","Astro","HAvYA",-0.00984357542671965,0.858101241347293,0.988541523911787
"TFEB","Astro","HAvYA",0.0929451561881484,0.450876246579441,0.979336604887158
"ZBTB7B","Astro","HAvYA",-0.0565573239249409,0.701234370044996,0.979336604887158
"ZBTB7C","Astro","HAvYA",-0.0468206429342007,0.742422138350994,0.979336604887158
"ZIC1","Astro","HAvYA",0.00719755053565563,0.954701499598946,0.995976016570843
"ZIC3","Astro","HAvYA",0.00999899948234434,0.936683595321109,0.995976016570843
"ZBTB18","Astro","HAvYA",-0.106445018211269,0.617748510903516,0.979336604887158
"LBX2","Astro","HAvYA",-0.177154095011481,0.464229771971842,0.979336604887158
"MEOX2","Astro","HAvYA",-0.137425174636773,0.402200219109359,0.979336604887158
"MNX1","Astro","HAvYA",-0.110023628329858,0.551731922029216,0.979336604887158
"MSX2","Astro","HAvYA",-0.123165067092933,0.520599540302103,0.979336604887158
"NOTO","Astro","HAvYA",-0.178692646048606,0.454372743174793,0.979336604887158
"OTX1","Astro","HAvYA",0.0185725754041237,0.811575548824907,0.979336604887158
"PDX1","Astro","HAvYA",-0.0551932881069033,0.753328447569121,0.979336604887158
"PHOX2A","Astro","HAvYA",-0.0400549211808029,0.729607969623395,0.979336604887158
"PITX3","Astro","HAvYA",0.00878554018720534,0.915909266093774,0.992613754768314
"PROP1","Astro","HAvYA",0.0140510300403739,0.900333422928459,0.991149663849938
"PRRX1","Astro","HAvYA",-0.190988611803952,0.429228099066499,0.979336604887158
"RAX2","Astro","HAvYA",-0.190988611803952,0.429228099066499,0.979336604887158
"RAX","Astro","HAvYA",-0.138644434968865,0.483282046522506,0.979336604887158
"RHOXF1","Astro","HAvYA",0.0620824339439835,0.462051282668344,0.979336604887158
"UNCX","Astro","HAvYA",-0.145321062996679,0.504417230517086,0.979336604887158
"VAX1","Astro","HAvYA",-0.102104944844535,0.478756511926337,0.979336604887158
"VAX2","Astro","HAvYA",-0.102104944844535,0.478756511926337,0.979336604887158
"VENTX","Astro","HAvYA",-0.0717695191346535,0.225100442412754,0.979336604887158
"VSX1","Astro","HAvYA",-0.04459169919107,0.721402996807502,0.979336604887158
"VSX2","Astro","HAvYA",-0.04459169919107,0.721402996807502,0.979336604887158
"ESR1","Astro","HAvYA",-0.0361790164195493,0.711385286140152,0.979336604887158
"ESRRB","Astro","HAvYA",-0.150193742940546,0.185408769962093,0.979336604887158
"NR2F1","Astro","HAvYA",0.0057173523778129,0.955760675816901,0.995976016570843
"NR3C1","Astro","HAvYA",-0.357267963441062,0.120791447796659,0.979336604887158
"NR3C2","Astro","HAvYA",-0.374125891916953,0.115505558183709,0.979336604887158
"RARA","Astro","HAvYA",-0.00718696403202901,0.931431248836082,0.995976016570843
"RARA(var.2)","Astro","HAvYA",-0.045079781532286,0.688660738216779,0.979336604887158
"BCL6B","Astro","HAvYA",-0.048943349803188,0.555736373957241,0.979336604887158
"EGR2","Astro","HAvYA",-0.0455809267771957,0.728997576116956,0.979336604887158
"EGR3","Astro","HAvYA",-0.0859121283453343,0.520428270803432,0.979336604887158
"EGR4","Astro","HAvYA",-0.0534943972858902,0.692684921808096,0.979336604887158
"GLIS1","Astro","HAvYA",0.0518422661606331,0.599209274529801,0.979336604887158
"GLIS2","Astro","HAvYA",0.0203235474061734,0.873214797334406,0.988541523911787
"GLIS3","Astro","HAvYA",-0.0423733080744839,0.714644998301986,0.979336604887158
"HIC2","Astro","HAvYA",-0.0736155334212639,0.47712454062906,0.979336604887158
"KLF14","Astro","HAvYA",-0.0293277098012142,0.862451160169934,0.988541523911787
"KLF16","Astro","HAvYA",-0.0825167048487093,0.519022532574612,0.979336604887158
"SP8","Astro","HAvYA",-0.0546193818876758,0.699259096581038,0.979336604887158
"ZBED1","Astro","HAvYA",0.0414505521700523,0.414808612067599,0.979336604887158
"ZIC4","Astro","HAvYA",0.0211285298473847,0.861053067654984,0.988541523911787
"ZNF143","Astro","HAvYA",-0.204147568974897,0.0338936054981376,0.979336604887158
"ZNF410","Astro","HAvYA",-0.0657766859499676,0.44633126856759,0.979336604887158
"CUX1","Astro","HAvYA",-0.0626911555327072,0.381259672075124,0.979336604887158
"CUX2","Astro","HAvYA",-0.0366247278286333,0.666919224018514,0.979336604887158
"ONECUT2","Astro","HAvYA",-0.0300702937752754,0.741364710373934,0.979336604887158
"ONECUT3","Astro","HAvYA",0.016045987969533,0.87113132082267,0.988541523911787
"E2F7","Astro","HAvYA",-0.00309597931913896,0.967464171881011,0.995976016570843
"ELK3","Astro","HAvYA",-0.132354476895034,0.280676214784541,0.979336604887158
"ERF","Astro","HAvYA",-0.161617819177706,0.110550978964993,0.979336604887158
"ERG","Astro","HAvYA",-0.141907946196393,0.158001247941077,0.979336604887158
"ETS1","Astro","HAvYA",-0.16872646554637,0.112467964647911,0.979336604887158
"ETV2","Astro","HAvYA",-0.184900871980696,0.0257701611256793,0.979336604887158
"ETV3","Astro","HAvYA",-0.115801870871731,0.30995660881302,0.979336604887158
"FEV","Astro","HAvYA",-0.111193261457863,0.334651301911146,0.979336604887158
"GCM2","Astro","HAvYA",-0.018394976307332,0.860539106962449,0.988541523911787
"LEF1","Astro","HAvYA",-0.071016762388216,0.459012829371935,0.979336604887158
"HSF2","Astro","HAvYA",0.0996666974974947,0.316116298971822,0.979336604887158
"HSF4","Astro","HAvYA",0.0942351127931811,0.382394173562344,0.979336604887158
"IRF7","Astro","HAvYA",0.133031790022027,0.232910565943345,0.979336604887158
"MEF2D","Astro","HAvYA",0.0376564998693088,0.756191569800604,0.979336604887158
"MEIS1","Astro","HAvYA",-0.052214197676186,0.62135158188953,0.979336604887158
"MEIS2","Astro","HAvYA",-0.0645383839704842,0.549724861972673,0.979336604887158
"MEIS3","Astro","HAvYA",-0.0663082567362489,0.622628542091841,0.979336604887158
"MYBL1","Astro","HAvYA",0.000488108689997657,0.991189950128246,0.997936725356572
"MYBL2","Astro","HAvYA",-0.0603559637699005,0.252852966369873,0.979336604887158
"NFKB1","Astro","HAvYA",0.0110785342292365,0.915815800670357,0.992613754768314
"NFKB2","Astro","HAvYA",-0.00100559110865267,0.993134500159607,0.997936725356572
"PAX1","Astro","HAvYA",0.0276246461914694,0.700292791974372,0.979336604887158
"PAX3","Astro","HAvYA",-0.091294123955453,0.287872101652788,0.979336604887158
