gene,celltype,baseMean,log2FoldChange,lfcSE,pvalue,padj,padj_global,scope_status
COL12A1,Astro,17.291866624877326,1.4539427806603662,0.3511694650105936,3.468697991772158e-05,0.0137724221750435,0.030556466627696253,retained_from_frozen60
COL21A1,Astro,309.7669937311676,1.90974238288599,0.4191003930319025,5.1947263704541885e-06,0.0052557361621232,0.010379093999910017,retained_from_frozen60
CRB2,Astro,72.08213508087753,0.9353093855035792,0.2549565897740996,0.0002439734433522,0.0403754466290533,0.08736004476637194,retained_from_frozen60
CXCL2,Astro,14.768217847785944,2.224338126072679,0.5582180698038237,6.75620751540016e-05,0.020172284031629,0.042565817779303385,retained_from_frozen60
ECM2,Astro,39.27428143492671,1.778672583389499,0.4190835678186181,2.1937905656039604e-05,0.0127837065594358,0.02375545848829532,retained_from_frozen60
FAP,Astro,81.70921736571252,2.6282097884548814,0.4510023537291173,5.626865378799937e-09,4.536097525119569e-05,0.0001047989841480756,retained_from_frozen60
HMCN2,Astro,9.626148333528082,-2.6301210356526603,0.4438815835285695,3.117726950168234e-09,4.536097525119569e-05,7.758775288188666e-05,retained_from_frozen60
IGFBP5,Astro,212.77828015457536,1.580790166841652,0.3927135923412924,5.690263684288544e-05,0.017562458325168,0.040123402092818894,retained_from_frozen60
LYPD6,Astro,170.68853194764523,-0.6560294444245006,0.1733546798424102,0.0001541299013354,0.0310629549903948,0.06880137622659668,retained_from_frozen60
SEMA3D,Astro,48.99617900656487,1.804775673807508,0.4320632479232316,2.952363891112261e-05,0.0131726309425971,0.027212047331192493,retained_from_frozen60
TNC,Astro,733.8328195994278,1.3542212433821534,0.2982850917246062,5.6248032743146725e-06,0.0052557361621232,0.010379093999910017,retained_from_frozen60
USH2A,Astro,9.693092649727026,-1.2124741573475608,0.3000358029125506,5.320146225135026e-05,0.0168189642329121,0.03809990185862166,retained_from_frozen60
WNT5B,Astro,43.171623316982455,-1.5534859583251308,0.2917138986822176,1.007448731645458e-07,0.0004060773975079,0.0007714267426378112,retained_from_frozen60
APOD,Endo,100.42809034816474,3.249502109979514,0.6418008105825346,4.124919036210092e-07,0.0011669395953438,0.002161110213371039,retained_from_frozen60
APP,Endo,182.68158211177752,-0.618694110636891,0.1664003463773299,0.0002007221239323,0.0811204126578108,0.07808124045004317,retained_from_frozen60
DKK2,Endo,3.628174234157048,4.449372714745588,1.1681856831751305,0.0001396490918145,0.0752509106177958,0.06465687997945391,retained_from_frozen60
EDN3,Endo,11.12651623583088,-1.7988895325751288,0.4853681622910898,0.0002103613074941,0.0820844329518702,0.07985315177455983,retained_from_frozen60
EFEMP1,Endo,8.090866216943844,2.821709541393209,0.7335801990259396,0.0001198215912733,0.0677950563424653,0.05993728885281094,retained_from_frozen60
KDR,Endo,26.758521201144045,-1.3610607713674383,0.3196766619536245,2.0661758699665004e-05,0.0194840384537841,0.022852823422216145,retained_from_frozen60
KITLG,Endo,40.188183318354376,-1.779164578823372,0.4595571853112914,0.0001081783435544,0.0644287439822281,0.05705325388455531,retained_from_frozen60
LAMA4,Endo,59.261885195943854,-1.0804878720275344,0.272794168080181,7.469365393895364e-05,0.049719611057247,0.04589694498579754,retained_from_frozen60
MMP28,Endo,7.244103296913394,-1.667261039633398,0.4418322303235638,0.0001609628194306,0.0758939693615313,0.06982967890641506,retained_from_frozen60
PLAT,Endo,28.921052297015898,-1.812252354302444,0.3646546890672365,6.703007371044545e-07,0.0015170246282148,0.0027907947630197716,retained_from_frozen60
PRSS3,Endo,7.761994492461714,-2.5640517021464504,0.4613702545584924,2.7371180818150247e-08,0.000154866141069,0.0003405796029202435,retained_from_frozen60
APOC1,Micro,37.59313017870205,1.89977975958699,0.4628164649249462,4.0462422467235016e-05,0.0238024598252908,0.03384698640402052,retained_from_frozen60
ASAH1,Micro,84.78728199837957,0.8561756184919411,0.2260502223273699,0.0001521425155272,0.0457441830018676,0.06822015570107925,retained_from_frozen60
CYTL1,Micro,16.423949678680813,1.5988196299512067,0.426212745778468,0.0001759731490943,0.0496024314009676,0.07384495493583625,retained_from_frozen60
GLT1D1,Micro,5.601152229232395,-1.9221717848356,0.4219522943515351,5.227991178036481e-06,0.0081623288810852,0.010379093999910017,retained_from_frozen60
IL15,Micro,18.483152824318125,3.110350457934096,0.5028886469229245,6.21148580803581e-10,8.404140298272452e-06,3.0915807163755835e-05,retained_from_frozen60
LGALS9,Micro,26.78836354702874,1.0553738524821317,0.2597286612214349,4.8369104457370885e-05,0.0272680826378428,0.036476167682610056,retained_from_frozen60
LIPG,Micro,7.157901302991396,2.5973174595722783,0.660833076928433,8.481579760202056e-05,0.0337516982810393,0.048802911887257425,retained_from_frozen60
LUZP2,Micro,13.053870833164286,-1.933947395868317,0.5153490207866969,0.0001749440563627,0.0496024314009676,0.07379080994308733,retained_from_frozen60
NPC2,Micro,32.368968837261306,1.3866550558777673,0.3136370467111128,9.815000398086166e-06,0.0117761626699028,0.014368005876868959,retained_from_frozen60
SERPINE1,Micro,10.6858233679658,4.125312495853685,1.0382064836083318,7.08244352081992e-05,0.0299454565114667,0.04427536080255198,retained_from_frozen60
SPON1,Micro,28.25516444767916,2.1533314778843,0.5674042593439376,0.0001476095697058,0.0453899426845586,0.06678930457633707,retained_from_frozen60
AZGP1,OPC,12.268467041681973,2.9227182923647828,0.632678862597233,3.84495131074034e-06,0.0066390376301885,0.009335166665276498,retained_from_frozen60
COL4A2,OPC,17.494346956657772,1.6198140625854685,0.4093979622170161,7.603177578933143e-05,0.033197874313068,0.04643255882928349,retained_from_frozen60
FGF13,OPC,62.908360100541934,-1.2755536018760112,0.2843316117851984,7.25224815888622e-06,0.0080219534301493,0.011235281969117706,retained_from_frozen60
FSTL5,OPC,11.471355991804062,-1.6348048547359946,0.4395495174170085,0.0001997966510334,0.0676535925295278,0.07808124045004317,retained_from_frozen60
NID2,OPC,11.271841152854066,-1.7677392156292209,0.4895098469228283,0.0003047324685099,0.0766078957199585,0.09753790625514303,retained_from_frozen60
CD74,Oligo,29.71452056762239,2.213347753977488,0.4613419909066104,1.6055473785021684e-06,0.0091720907865382,0.0048431093407763585,retained_from_frozen60
ECM2,Oligo,14.969407006036567,1.2884761002096232,0.3252386045850933,7.443879125283873e-05,0.0874716061536529,0.04589694498579754,retained_from_frozen60
EPHA3,Oligo,90.26858888903573,2.273220486685189,0.5166186015292311,1.0815567093227013e-05,0.0319510730557978,0.015163729728566054,retained_from_frozen60
PTPRR,Oligo,21.421784304009755,-1.422499838543139,0.3298745486103317,1.6160529134273663e-05,0.0369284251247287,0.019150996573120686,retained_from_frozen60
VSTM4,Oligo,78.1384856912582,-0.770407661181278,0.1806155006856052,1.9949338786659006e-05,0.041442030964904,0.02231277505819308,retained_from_frozen60
