"motif","tf","celltype","dz","p","padj"
"MA0817.1","BHLHE23","Astro",-0.176148922866485,0.138790621143562,1
"MA0818.1","BHLHE22","Astro",-0.168589392304987,0.138790621143562,1
"MA0819.1","CLOCK","Astro",-0.062096134671971,0.541423282599753,1
"MA0820.1","FIGLA","Astro",0.0128757502846914,1,1
"MA0821.1","HES5","Astro",0.00817830112286713,0.962566844919786,1
"MA0822.1","HES7","Astro",0.0229609105990659,0.888358700123406,1
"MA0823.1","HEY1","Astro",0.0392247410146306,0.814808720691074,1
"MA0058.3","MAX","Astro",0.0159287339323439,0.605841217605923,1
"MA0825.1","MNT","Astro",0.0169023084541427,0.888358700123406,1
"MA0826.1","OLIG1","Astro",-0.157669183699177,0.113944878650761,1
"MA0827.1","OLIG3","Astro",-0.137764376654591,0.235870012340601,1
"MA0828.1","SREBF2(var.2)","Astro",0.122957321085423,0.113944878650761,1
"MA0834.1","ATF7","Astro",0.125136088701111,0.742986425339367,1
"MA0466.2","CEBPB","Astro",0.187904473563097,0.113944878650761,1
"MA0837.1","CEBPE","Astro",0.190905630918481,0.074454956807898,1
"MA0838.1","CEBPG","Astro",0.19399769442533,0.0592348827642945,1
"MA0839.1","CREB3L1","Astro",0.02354932006074,1,1
"MA0841.1","NFE2","Astro",0.52609942774927,0.742986425339367,1
"MA0843.1","TEF","Astro",-0.00413619207885607,0.814808720691074,1
"MA0844.1","XBP1","Astro",0.0595707022850761,1,1
"MA0845.1","FOXB1","Astro",0.0169943988636451,0.814808720691074,1
"MA0032.2","FOXC1","Astro",0.0449319663189279,0.888358700123406,1
"MA0846.1","FOXC2","Astro",0.103430356417591,0.672974084738791,1
"MA0848.1","FOXO4","Astro",0.0495869299985648,0.962566844919786,1
"MA0849.1","FOXO6","Astro",0.0495869299985648,0.962566844919786,1
"MA0850.1","FOXP3","Astro",0.0495869299985648,0.962566844919786,1
"MA0855.1","RXRB","Astro",0.0265169376676944,0.888358700123406,1
"MA0856.1","RXRG","Astro",-0.0278010482193387,0.541423282599753,1
"MA0525.2","TP63","Astro",-0.00850612786122462,0.962566844919786,1
"MA0106.3","TP53","Astro",0.00992596447691602,0.962566844919786,1
"MA0861.1","TP73","Astro",-0.00758670734913874,0.962566844919786,1
"MA0862.1","GMEB2","Astro",0.0950960133264431,0.672974084738791,1
"MA0863.1","MTF1","Astro",-0.0559262119505078,0.370382558617853,1
"MA0024.3","E2F1","Astro",0.0265896858597871,0.962566844919786,1
"MA0865.1","E2F8","Astro",0.0200811444848252,1,1
"MA0866.1","SOX21","Astro",0.0137355071135173,0.962566844919786,1
"MA0872.1","TFAP2A(var.3)","Astro",-0.0347030385022846,0.605841217605923,1
"MA0028.2","ELK1","Astro",-0.0861997654078708,0.672974084738791,1
"MA0873.1","HOXD12","Astro",-0.0162977220330012,0.541423282599753,1
"MA0875.1","BARX1","Astro",-0.0529914480092155,0.814808720691074,1
"MA0876.1","BSX","Astro",-0.0982332522691272,0.888358700123406,1
"MA0882.1","DLX6","Astro",-0.0190139906951369,0.742986425339367,1
"MA0884.1","DUXA","Astro",-0.00288200054245846,0.672974084738791,1
"MA0886.1","EMX2","Astro",-0.115864403031118,0.814808720691074,1
"MA0887.1","EVX1","Astro",-0.101651322001555,0.541423282599753,1
"MA0888.1","EVX2","Astro",-0.114972628090862,0.742986425339367,1
"MA0889.1","GBX1","Astro",-0.133518123435678,0.814808720691074,1
"MA0890.1","GBX2","Astro",-0.0925443449960308,1,1
"MA0891.1","GSC2","Astro",-0.0205445712985283,0.541423282599753,1
"MA0892.1","GSX1","Astro",-0.136563738518224,0.888358700123406,1
"MA0894.1","HESX1","Astro",-0.0729615508325512,0.962566844919786,1
"MA0895.1","HMBOX1","Astro",0.00887021628614326,0.962566844919786,1
"MA0899.1","HOXA10","Astro",0.111576719836067,0.742986425339367,1
"MA0903.1","HOXB3","Astro",-0.120143550150011,0.605841217605923,1
"MA0905.1","HOXC10","Astro",-0.0423724379994398,0.370382558617853,1
"MA0906.1","HOXC12","Astro",-0.00121964688028686,1,1
"MA0907.1","HOXC13","Astro",-0.022262707243389,0.605841217605923,1
"MA0908.1","HOXD11","Astro",-0.0150917964292663,0.962566844919786,1
"MA0914.1","ISL2","Astro",-0.0776981619349253,0.235870012340601,1
"MA0852.2","FOXK1","Astro",0.0343325371736659,0.814808720691074,1
"MA0036.3","GATA2","Astro",-0.15304904295558,0.16717400246812,1
"MA1106.1","HIF1A","Astro",0.050948143645498,0.672974084738791,1
"MA0147.3","MYC","Astro",0.0191331180033765,0.814808720691074,1
"MA0100.3","MYB","Astro",-0.0700287798401424,0.480707527766351,1
"MA0104.4","MYCN","Astro",0.0359031997653007,0.672974084738791,1
"MA1109.1","NEUROD1","Astro",-0.293912687067518,0.16717400246812,1
"MA0161.2","NFIC","Astro",0.203037163389595,0.672974084738791,1
"MA0060.3","NFYA","Astro",-0.166465755776079,0.19958864664747,1
"MA1110.1","NR1H4","Astro",0.064479091735849,0.541423282599753,1
"MA1111.1","NR2F2","Astro",-0.034442115109931,0.672974084738791,1
"MA0014.3","PAX5","Astro",0.0234918972287489,0.814808720691074,1
"MA1114.1","PBX3","Astro",-0.0145780743210044,0.888358700123406,1
"MA1115.1","POU5F1","Astro",-0.152330926554656,0.4234471410942,1
"MA1116.1","RBPJ","Astro",-0.131679953215286,0.321266968325792,1
"MA1117.1","RELB","Astro",-0.00733932168052853,0.742986425339367,1
"MA1118.1","SIX1","Astro",0.00239510833375423,0.962566844919786,1
"MA1119.1","SIX2","Astro",0.0431808239902693,0.962566844919786,1
"MA0442.2","SOX10","Astro",0.0328791215910509,0.814808720691074,1
