baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,celltype,cohort,n_donors
1897.87968842857,0.0016746309346578967,0.014420089046640399,0.1161318026013198,0.9075480844978996,0.981216296024108,TAF15,Astro,GSE186538,6
1897.828341562321,-0.015147167211934555,0.010344020996748022,-1.464340338896891,0.14310098052913386,0.5139199381348283,CCDC146,Oligo,GSE186538,6
1897.4023406276929,-0.011198449606127195,0.012834018390867443,-0.8725598846029312,0.3829030139528006,0.816060419389672,SSH2,Astro,GSE186538,6
1897.399938081651,-0.057720804060480434,0.012844712460917646,-4.493740458270778,6.998291579699086e-06,0.005074665340700158,ADAMTS9,Astro,GSE186538,6
1896.2524429125788,0.003943982003916138,0.011128707635933852,0.354397126147989,0.723041287994097,0.9135344856212585,CNDP2,Oligo,GSE186538,6
1896.233235777421,-0.00021367806765567387,0.011962749180446168,-0.017861953338028976,0.98574898100629,0.9966847245653393,SLK,Oligo,GSE186538,6
1895.4220160181783,-0.02049830921586201,0.016336179675639252,-1.2547798581347258,0.20955868638590214,0.692512492439289,ROBO1,Astro,GSE186538,6
1894.7531167142395,0.017418536451332067,0.02084143381586457,0.835764784957982,0.4032872410392414,0.999842309794823,SYK,Micro,GSE186538,6
1894.580002128813,0.05094267006629955,0.01494052675949618,3.4096970532796282,0.0006503507676119803,0.03640806404085347,MT3,Oligo,GSE186538,6
1894.3391960268366,-0.010690180382395482,0.012155211231268934,-0.8794730242856907,0.3791448532139434,0.8152712649849945,NUCKS1,Astro,GSE186538,6
1894.002205171383,-0.008957215807169962,0.010146928487599075,-0.8827514472105423,0.37737057863338763,0.9490953643437524,TENT2,OPC,GSE186538,6
1893.8482045816581,0.0028859939901595224,0.015456937203422848,0.1867118920247949,0.8518865315835603,0.9590170279083633,GNAI2,Oligo,GSE186538,6
1893.2278743950237,0.0223998054563945,0.012428447836690297,1.8023011200374948,0.07149804242094865,0.3878896460792402,NENF,Oligo,GSE186538,6
1892.968668730574,-0.012472155622747295,0.009280839048479324,-1.3438607821553454,0.17899340993276835,0.5614114167567095,SMC6,Oligo,GSE186538,6
1892.9375564393047,-0.007294745874397351,0.017056027000827048,-0.42769314765060046,0.6688745394002302,0.8936959674450952,CDH13,Oligo,GSE186538,6
1892.2382697717012,0.0192826992824632,0.012787500073496877,1.5079334640574622,0.13157155689064756,0.6029746348850455,GSN,Astro,GSE186538,6
1891.9327601550597,-0.0036454590626180576,0.009953828263088858,-0.3662368855745964,0.7141883205871837,0.9099052442056866,ADAM17,Oligo,GSE186538,6
1891.2176551224393,0.0022763884455319554,0.013178488480793052,0.17273516980719533,0.8628595977950958,0.9932298092000501,AC006148.1,OPC,GSE186538,6
1891.0177622363415,0.004205203737937057,0.011331528665719222,0.3711064819223267,0.7105582233442952,0.9084922050151095,PELI1,Oligo,GSE186538,6
