cohort	celltype	perm	labels	n_sig_fdr005	n_sig_fdr01	n_sig_secretome_fdr005	n_sig_secretome_fdr01
GSE268609	Oligo	33	10000110011111100	7	13	1	1
GSE268609	Oligo	34	10110010100110110	0	0	0	0
GSE268609	Oligo	35	00110011110010011	0	0	0	0
GSE268609	Oligo	36	11010001011111000	3	4	0	0
GSE268609	Oligo	37	10001110000111011	0	0	0	0
GSE268609	Oligo	38	10011110100010101	0	0	0	0
GSE268609	Oligo	39	11001101001110100	0	0	0	0
GSE268609	Oligo	40	00111011001110010	0	2	0	1
GSE268609	Oligo	41	10111011101000001	2	6	1	1
GSE268609	Oligo	42	11100101011000011	2	6	0	1
GSE268609	Oligo	43	11110010110001010	1	2	0	0
GSE268609	Oligo	44	11110101101000001	60	171	5	14
GSE268609	Oligo	45	11000100100011111	1331	2050	53	79
GSE268609	Oligo	46	01110011001010101	0	0	0	0
GSE268609	Oligo	47	01111100100011001	0	0	0	0
GSE268609	Oligo	48	00100101001110111	1	1	0	0
GSE268609	Oligo	49	00110010111100101	0	2	0	1
GSE268609	Oligo	50	00100111110010101	0	0	0	0
GSE268609	Oligo	51	10110101110010100	2	7	1	1
GSE268609	Oligo	52	01010101101110100	0	0	0	0
GSE268609	Oligo	53	01101111100100010	2	3	0	0
GSE268609	Oligo	54	00110010111010110	51	87	10	12
GSE268609	Oligo	55	10000011110110011	0	0	0	0
GSE268609	Oligo	56	00010010001111111	311	651	25	44
GSE268609	Oligo	57	01111100010100101	0	0	0	0
GSE268609	Oligo	58	01101010010101011	0	0	0	0
GSE268609	Oligo	59	01111100101000110	0	0	0	0
GSE268609	Oligo	60	10110001010110011	0	0	0	0
GSE268609	Oligo	61	11011001010010110	0	4	0	0
GSE268609	Oligo	62	10011000001101111	0	0	0	0
GSE268609	Oligo	63	00011101010111010	1	3	1	1
GSE268609	Oligo	64	01011101000011101	0	1	0	0
GSE268609	Oligo	65	11100111000011100	1	1	0	0
GSE268609	Oligo	66	01110011000010111	0	0	0	0
GSE268609	Oligo	67	11001101000101101	0	0	0	0
GSE268609	Oligo	68	01001011001010111	0	1	0	0
GSE268609	Oligo	69	00111011100100101	1	1	0	0
GSE268609	Oligo	70	00010001111101101	0	0	0	0
GSE268609	Oligo	71	11011001110100010	6	9	0	0
GSE268609	Oligo	72	01001100011110110	1	1	0	0
GSE268609	Oligo	73	00010011110110110	81	167	11	16
GSE268609	Oligo	74	01111100110100100	0	0	0	0
GSE268609	Oligo	75	01110101100010101	0	0	0	0
GSE268609	Oligo	76	00101101111010010	1	4	0	0
GSE268609	Oligo	77	11001000011101101	0	0	0	0
GSE268609	Oligo	78	10110110100110010	0	0	0	0
GSE268609	Oligo	79	01010111010001011	0	0	0	0
GSE268609	Oligo	80	01110001101110100	0	0	0	0
GSE268609	Oligo	81	00010111001111001	0	0	0	0
GSE268609	Oligo	82	11100001101010110	0	0	0	0
